actor_account,login_count,logout_count,login_day_count,play_time,avg_money,ip_count,max_level
20000196,42.0,41.0,1.0,946368.0,-0.2532080543720836,42.0,0.0
20000203,13.0,13.0,1.0,58898.0,4.021664572651024,13.0,18.0
20000206,251.0,250.0,1.0,330904.0,-34.19977093054179,251.0,40.0
20000207,25.0,22.0,1.0,221538.0,-0.449241213696973,25.0,28.0
20000208,5.0,4.0,1.0,16571.0,2.2024621326413616,5.0,12.0
20000209,115.0,113.0,1.0,105727.0,179.2045078362197,115.0,0.0
20000214,1.0,1.0,1.0,131.0,0.0,1.0,0.0
20000215,32.0,31.0,1.0,143304.0,6.585740802768939,32.0,0.0
20000217,80.0,79.0,1.0,273560.0,9.65603889457523,80.0,43.0
20000222,45.0,45.0,1.0,97283.0,-60.46096440282475,45.0,39.0
20000223,1.0,1.0,1.0,413.0,0.0,1.0,0.0
20000239,43.0,42.0,1.0,194120.0,-105.77964661034412,43.0,0.0
20000249,14.0,14.0,1.0,13706.0,19.471910112359552,14.0,5.0
20000252,121.0,121.0,1.0,242827.0,16.668302948189453,121.0,0.0
20000257,6.0,6.0,1.0,22945.0,7.118893005011985,6.0,0.0
20000266,1.0,1.0,1.0,5153.0,0.2973025422084223,1.0,4.0
20000270,5.0,4.0,1.0,20775.0,27.701949458483753,5.0,28.0
20000278,61.0,61.0,1.0,137298.0,-35.82688750018209,61.0,39.0
20000279,56.0,56.0,1.0,29606.0,264.8170978855637,56.0,0.0
20000282,1.0,1.0,1.0,286.0,1261.493006993007,1.0,0.0
20000290,5.0,4.0,1.0,30499.0,9.85058526509066,5.0,16.0
20000297,19.0,19.0,1.0,136657.0,-32.531052196374866,19.0,47.0
20000308,107.0,106.0,1.0,245922.0,428.4629557339319,107.0,41.0
20000311,20.0,18.0,1.0,1054317.0,-0.30294209426576635,20.0,47.0
20000316,191.0,191.0,1.0,349486.0,-42.538147450827786,191.0,31.0
20000328,6.0,6.0,1.0,11707.0,0.35209703596139064,6.0,11.0
20000337,3.0,3.0,1.0,9112.0,-0.3689640035118525,3.0,0.0
20000343,53.0,53.0,1.0,444172.0,-45.78506749637528,53.0,0.0
20000344,1.0,1.0,1.0,94.0,0.0,1.0,0.0
20000350,18.0,17.0,1.0,1110169.0,-10.107216108538429,18.0,47.0
20000355,1.0,1.0,1.0,518.0,0.5791505791505791,1.0,0.0
20000361,30.0,29.0,1.0,64201.0,-0.9038800018691298,30.0,15.0
20000365,1.0,1.0,1.0,705.0,5.23404255319149,1.0,0.0
20000366,42.0,42.0,1.0,190818.0,33.984199603810964,42.0,50.0
20000367,64.0,63.0,1.0,419580.0,50.3165284331951,64.0,0.0
20000371,3.0,3.0,1.0,723.0,-1166.8630705394191,3.0,0.0
20000375,6.0,6.0,1.0,4049.0,-1.8891084218325513,6.0,0.0
20000387,134.0,134.0,1.0,371994.0,-19.20943886191713,134.0,40.0
20000393,24.0,24.0,1.0,56151.0,11.293779273744011,24.0,19.0
20000404,3.0,2.0,1.0,12327.0,20.067331873124036,3.0,10.0
20000405,17.0,15.0,1.0,1084347.0,21.626888809578485,17.0,46.0
20000412,4.0,4.0,1.0,20204.0,116.61611562066918,4.0,0.0
20000415,35.0,35.0,1.0,268967.0,-4.492067800139051,35.0,0.0
20000422,94.0,95.0,1.0,429329.0,26.71694900647289,94.0,23.0
20000427,32.0,31.0,1.0,947297.0,-0.055102042970683954,32.0,31.0
20000435,30.0,30.0,1.0,151628.0,15.637646081198723,30.0,49.0
20000436,18.0,18.0,1.0,432797.0,-0.3817032003456586,18.0,30.0
20000439,20.0,18.0,1.0,154836.0,1.1979190885840503,20.0,24.0
20000440,1.0,1.0,1.0,209.0,-287081.3397129187,1.0,0.0
20000454,50.0,50.0,1.0,76262.0,-6.033647163725053,50.0,23.0
20000456,18.0,18.0,1.0,164903.0,34.59897030375433,18.0,0.0
20000457,178.0,179.0,1.0,689146.0,33.56321592231544,178.0,0.0
20000466,35.0,35.0,1.0,977997.0,-0.0019570612179791963,35.0,40.0
20000470,12.0,12.0,1.0,68074.0,-41.085216088374416,12.0,35.0
20000478,18.0,15.0,1.0,1166364.0,-0.05399515074196391,18.0,0.0
20000479,34.0,31.0,1.0,420401.0,-45.08545412594166,34.0,0.0
20000482,45.0,44.0,1.0,376299.0,1.1968753570963515,45.0,0.0
20000491,8.0,8.0,1.0,78748.0,46.992444252552446,8.0,0.0
20000508,4.0,4.0,1.0,14586.0,-1579.7464692170574,4.0,0.0
20000509,1.0,1.0,1.0,2890.0,0.4709342560553633,1.0,0.0
20000510,1.0,1.0,1.0,10665.0,192.03169245194562,1.0,0.0
20000512,15.0,13.0,1.0,828781.0,15.470859008592138,15.0,35.0
20000513,48.0,49.0,1.0,154184.0,8.61383801172625,48.0,33.0
20000518,85.0,85.0,1.0,221198.0,-34.82927964990642,85.0,43.0
20000526,2.0,2.0,1.0,3590.0,-27.85376044568245,2.0,0.0
20000529,26.0,30.0,1.0,559373.0,0.3082701524742882,26.0,34.0
20000530,1.0,1.0,1.0,2748.0,0.0,1.0,0.0
20000544,13.0,13.0,1.0,37608.0,17.49305998723676,13.0,30.0
20000549,5.0,5.0,1.0,1264.0,-18988.909018987342,5.0,0.0
20000550,4.0,4.0,1.0,15222.0,-4.786756011036657,4.0,16.0
20000552,103.0,104.0,1.0,493728.0,26.395570030462117,103.0,49.0
20000558,290.0,290.0,1.0,522497.0,2.893337186624995,290.0,37.0
20000559,7.0,7.0,1.0,25400.0,-74.48047244094488,7.0,0.0
20000560,1.0,1.0,1.0,308.0,-68.38636363636364,1.0,0.0
20000581,75.0,76.0,1.0,139876.0,-90.1368926763705,75.0,36.0
20000584,2.0,2.0,1.0,24075.0,6.727019730010384,2.0,14.0
20000585,69.0,69.0,1.0,161807.0,-6.001631573417714,69.0,33.0
20000601,36.0,35.0,1.0,242071.0,15.289138310660922,36.0,50.0
20000606,1.0,1.0,1.0,1655.0,0.0,1.0,0.0
20000633,3.0,3.0,1.0,7202.0,-12509.88156067759,3.0,0.0
20000640,1.0,1.0,1.0,188.0,-372.3404255319149,1.0,0.0
20000641,14.0,14.0,1.0,1055422.0,6.484012082370843,14.0,0.0
20000644,47.0,47.0,1.0,63901.0,558.9295472684308,47.0,0.0
20000646,9.0,10.0,1.0,54623.0,8.757354960364681,9.0,16.0
20000649,17.0,16.0,1.0,398888.0,0.390746274643509,17.0,0.0
20000650,214.0,214.0,1.0,358621.0,-19.58437737890419,214.0,25.0
20000654,1.0,1.0,1.0,10771.0,57.46337387429208,1.0,8.0
20000657,20.0,20.0,1.0,90687.0,5.273346786198683,20.0,22.0
20000659,3.0,3.0,1.0,559.0,47.69409660107335,3.0,0.0
20000689,62.0,61.0,1.0,264077.0,48.011023300022345,62.0,39.0
20000690,27.0,26.0,1.0,155198.0,20.315680614440907,27.0,28.0
20000692,13.0,13.0,1.0,16841.0,95.14340003562734,13.0,0.0
20000693,2.0,2.0,1.0,7501.0,8.439808025596587,2.0,7.0
20000695,1.0,1.0,1.0,35.0,0.0,1.0,0.0
20000705,59.0,59.0,1.0,179527.0,-12.038278364814206,59.0,37.0
20000706,15.0,15.0,1.0,102569.0,5.64132437676101,15.0,23.0
20000707,10.0,10.0,1.0,22920.0,21.913568935427573,10.0,18.0
20000719,43.0,41.0,1.0,546486.0,-4.394987245784887,43.0,0.0
20000726,5.0,5.0,1.0,26657.0,30.824811494166635,5.0,0.0
20000727,19.0,19.0,1.0,46409.0,-149.02620181430325,19.0,0.0
20000731,103.0,102.0,1.0,308701.0,-71.63764937593335,103.0,0.0
20000735,1.0,1.0,1.0,196.0,0.0,1.0,0.0
20000741,41.0,41.0,1.0,373738.0,2.713336615489996,41.0,37.0
20000744,11.0,11.0,1.0,57095.0,-1.9446536474297225,11.0,0.0
20000749,1.0,1.0,1.0,3733.0,0.09188320385748727,1.0,5.0
20000751,77.0,77.0,1.0,73288.0,-18.42701397227377,77.0,36.0
20000761,80.0,80.0,1.0,91345.0,-9.787596474902841,80.0,30.0
20000765,32.0,32.0,1.0,963032.0,-1.1577538441090223,32.0,37.0
20000766,9.0,10.0,1.0,111835.0,-1.9012294898734743,9.0,25.0
20000776,1.0,1.0,1.0,11238.0,0.0,1.0,0.0
20000799,70.0,70.0,1.0,103424.0,9.957321318069306,70.0,43.0
20000814,7.0,7.0,1.0,26044.0,75.02315312547995,7.0,0.0
20000816,8.0,8.0,1.0,82786.0,0.35334476843910806,8.0,13.0
20000817,63.0,63.0,1.0,248938.0,-42.384911102362835,63.0,25.0
20000827,71.0,69.0,1.0,256137.0,-35.35507560407126,71.0,0.0
20000833,87.0,86.0,1.0,289844.0,311.4647465533183,87.0,0.0
20000837,29.0,30.0,1.0,185384.0,43.081938031329564,29.0,50.0
20000839,1.0,1.0,1.0,7121.0,66.35458503019238,1.0,0.0
20000841,42.0,42.0,1.0,110106.0,-16.83683904601021,42.0,0.0
20000843,3.0,3.0,1.0,11061.0,27.40999909592261,3.0,7.0
20000845,2.0,2.0,1.0,370.0,0.0,2.0,0.0
20000848,2.0,2.0,1.0,126.0,-37056.28571428572,2.0,0.0
20000850,50.0,49.0,1.0,448004.0,-3.168098945545129,50.0,12.0
20000852,4.0,4.0,1.0,7158.0,-8.407655769768091,4.0,0.0
20000860,62.0,61.0,1.0,392602.0,-14.084803439615692,62.0,0.0
20000862,2.0,2.0,1.0,60.0,0.0,2.0,0.0
20000865,224.0,223.0,1.0,371700.0,-23.98685230024213,224.0,39.0
20000868,15.0,12.0,1.0,960198.0,-7.958057608951487,15.0,0.0
20000871,3.0,3.0,1.0,13302.0,23.735754021951585,3.0,21.0
20000874,1.0,1.0,1.0,4568.0,-47.61668126094571,1.0,0.0
20000880,7.0,6.0,1.0,31988.0,-0.8817994247842941,7.0,26.0
20000892,429.0,428.0,1.0,623741.0,0.1251416854110921,429.0,0.0
20000907,1.0,1.0,1.0,38.0,0.0,1.0,0.0
20000909,99.0,98.0,1.0,459903.0,11.498826926547554,99.0,15.0
20000918,3.0,3.0,1.0,6991.0,-5468.6854527249325,3.0,0.0
20000922,18.0,18.0,1.0,100216.0,25.257194459966474,18.0,45.0
20000929,1.0,1.0,1.0,176.0,-113636.36363636363,1.0,0.0
20000934,61.0,61.0,1.0,159230.0,60.824662437982795,61.0,28.0
20000944,1.0,1.0,1.0,49.0,0.0,1.0,0.0
20000945,5.0,5.0,1.0,14205.0,70.4827173530447,5.0,42.0
20000946,8.0,8.0,1.0,9106.0,-96.86679112672962,8.0,0.0
20000949,35.0,35.0,1.0,118028.0,-16.827024095977226,35.0,47.0
20000954,5.0,5.0,1.0,7762.0,-1245.9972945117238,5.0,0.0
20000959,311.0,312.0,1.0,562309.0,-180.81184544440868,311.0,29.0
20000960,18.0,18.0,1.0,122353.0,16.142285027747583,18.0,49.0
20000968,52.0,52.0,1.0,530020.0,0.06215991849364175,52.0,0.0
20000971,234.0,232.0,1.0,795390.0,-1.2082110662693772,234.0,39.0
20000974,96.0,95.0,1.0,278178.0,74.27132267828513,96.0,0.0
20000979,1.0,1.0,1.0,260.0,-33.51923076923077,1.0,0.0
20000983,82.0,83.0,1.0,488991.0,20.031544547854665,82.0,49.0
20000988,72.0,72.0,1.0,367565.0,15.905434412960973,72.0,15.0
20000993,2.0,2.0,1.0,614.0,0.2785016286644951,2.0,2.0
20000994,109.0,108.0,1.0,246857.0,-32.9571330770446,109.0,30.0
20000998,9.0,9.0,1.0,25599.0,-0.06879174967772178,9.0,0.0
20001012,55.0,53.0,1.0,470581.0,96.8153346607704,55.0,0.0
20001013,3.0,3.0,1.0,12797.0,18.420801750410252,3.0,0.0
20001025,104.0,105.0,1.0,416544.0,-125.15944053929476,104.0,13.0
20001026,230.0,228.0,1.0,725413.0,-7.8083657171845555,230.0,34.0
20001032,106.0,104.0,1.0,439125.0,31.61753487048107,106.0,50.0
20001033,12.0,13.0,1.0,36761.0,1.9463017872201518,12.0,26.0
20001035,28.0,29.0,1.0,202736.0,-86.66579689842949,28.0,35.0
20001042,18.0,16.0,1.0,1119521.0,-8.869617452464045,18.0,0.0
20001050,179.0,177.0,1.0,678805.0,19.26626203401566,179.0,47.0
20001052,3.0,3.0,1.0,8447.0,-0.008878891914289097,3.0,8.0
20001054,2.0,2.0,1.0,2834.0,47.12808750882145,2.0,0.0
20001056,16.0,18.0,1.0,40389.0,11.532224120428829,16.0,0.0
20001057,2.0,2.0,1.0,684.0,-19.656432748538013,2.0,0.0
20001066,40.0,39.0,1.0,372547.0,70.91891492885462,40.0,49.0
20001082,1.0,1.0,1.0,137.0,-11.357664233576642,1.0,0.0
20001088,11.0,11.0,1.0,49628.0,19.7674699766261,11.0,42.0
20001098,10.0,11.0,1.0,383312.0,-11.038201256417748,10.0,40.0
20001110,1.0,1.0,1.0,4924.0,0.07879772542648253,1.0,5.0
20001111,71.0,71.0,1.0,124237.0,10.944992232587715,71.0,38.0
20001112,84.0,84.0,1.0,361079.0,-54.75933798420844,84.0,0.0
20001113,216.0,217.0,1.0,399319.0,-43.11693408027166,216.0,43.0
20001116,6.0,6.0,1.0,20767.0,2.1324697837915925,6.0,20.0
20001126,84.0,84.0,1.0,51212.0,1320.1522885261268,84.0,0.0
20001127,18.0,18.0,1.0,41370.0,1.7577471597776166,18.0,38.0
20001129,77.0,76.0,1.0,326822.0,13.821266622198015,77.0,30.0
20001132,15.0,15.0,1.0,78034.0,0.38621626470512854,15.0,16.0
20001135,54.0,54.0,1.0,503510.0,1.0939643701217454,54.0,0.0
20001144,43.0,44.0,1.0,186044.0,23.041640687149275,43.0,31.0
20001146,6.0,6.0,1.0,1650.0,-0.7236363636363636,6.0,0.0
20001167,24.0,23.0,1.0,1215245.0,4.8279836576163655,24.0,50.0
20001170,4.0,4.0,1.0,2094.0,10.634670487106018,4.0,0.0
20001175,164.0,162.0,1.0,321282.0,21.275739070349413,164.0,38.0
20001194,73.0,74.0,1.0,240223.0,-2.2858135981983407,73.0,35.0
20001195,1.0,1.0,1.0,456.0,32.89473684210526,1.0,0.0
20001201,132.0,130.0,1.0,456211.0,-150.68770371604367,132.0,40.0
20001208,15.0,16.0,1.0,43959.0,-48.097204213016674,15.0,0.0
20001210,2.0,2.0,1.0,945.0,-5.9756613756613755,2.0,0.0
20001214,4.0,4.0,1.0,1037.0,0.0,4.0,0.0
20001222,31.0,29.0,1.0,991702.0,-0.625151507206802,31.0,38.0
20001225,29.0,27.0,1.0,1007850.0,-0.2042962742471598,29.0,43.0
20001229,1.0,1.0,1.0,6011.0,0.6509732157710864,1.0,7.0
20001231,11.0,12.0,1.0,142332.0,43.045998088975075,11.0,0.0
20001232,4.0,4.0,1.0,13513.0,1.960334492710723,4.0,14.0
20001239,24.0,22.0,1.0,375198.0,8.406678607028821,24.0,34.0
20001241,2.0,2.0,1.0,1038.0,-0.34296724470134876,2.0,0.0
20001242,2.0,2.0,1.0,3274.0,0.2565668906536347,2.0,5.0
20001251,142.0,142.0,1.0,590422.0,-27.109894279007218,142.0,48.0
20001253,124.0,123.0,1.0,397758.0,-3.699118559526144,124.0,0.0
20001256,72.0,71.0,1.0,194673.0,-10.652792118064651,72.0,44.0
20001264,72.0,71.0,1.0,299018.0,-0.22831401454093064,72.0,43.0
20001272,37.0,37.0,1.0,24565.0,1383.134337472013,37.0,0.0
20001276,57.0,58.0,1.0,270458.0,-0.487388060253348,57.0,33.0
20001278,43.0,43.0,1.0,932132.0,-0.35633043388704605,43.0,43.0
20001279,51.0,52.0,1.0,160088.0,-17.78300059967018,51.0,0.0
20001280,1.0,1.0,1.0,13056.0,-2.4299172794117645,1.0,12.0
20001292,64.0,63.0,1.0,247960.0,-97.29001855137925,64.0,0.0
20001293,6.0,6.0,1.0,8238.0,-4.4650400582665695,6.0,0.0
20001300,8.0,8.0,1.0,51566.0,-10.897645735562191,8.0,27.0
20001316,1.0,1.0,1.0,11937.0,5.535896791488649,1.0,33.0
20001320,132.0,130.0,1.0,321350.0,127.43229500544578,132.0,4.0
20001322,67.0,68.0,1.0,249115.0,-188.67105553659957,67.0,0.0
20001335,2.0,2.0,1.0,16143.0,5.8099485845258005,2.0,24.0
20001343,125.0,124.0,1.0,326989.0,2.834083103712969,125.0,30.0
20001354,115.0,113.0,1.0,484986.0,-31.349876078897122,115.0,0.0
20001359,24.0,25.0,1.0,185008.0,2.159041771166652,24.0,26.0
20001361,84.0,85.0,1.0,147340.0,1.5554703407085653,84.0,0.0
20001372,1.0,1.0,1.0,987.0,0.7304964539007092,1.0,3.0
20001378,3.0,3.0,1.0,370.0,-0.02972972972972973,3.0,0.0
20001379,12.0,11.0,1.0,187355.0,2.1919777961623654,12.0,30.0
20001380,6.0,6.0,1.0,27990.0,-11.593426223651305,6.0,30.0
20001383,85.0,83.0,1.0,104955.0,-620.0297841932256,85.0,0.0
20001385,1.0,1.0,1.0,591.0,0.6159052453468697,1.0,3.0
20001387,279.0,278.0,1.0,691576.0,-1.6870958506368063,279.0,8.0
20001389,26.0,24.0,1.0,1086875.0,9.362491546866014,26.0,0.0
20001390,8.0,8.0,1.0,55698.0,0.5644008761535423,8.0,21.0
20001392,3.0,3.0,1.0,1649.0,0.0,3.0,0.0
20001393,178.0,178.0,1.0,242856.0,-112.97599812234411,178.0,43.0
20001405,21.0,17.0,1.0,980542.0,-2.7339481633627116,21.0,0.0
20001412,15.0,15.0,1.0,24717.0,-2.766962009952664,15.0,0.0
20001419,1.0,1.0,1.0,308.0,0.0,1.0,0.0
20001421,10.0,9.0,1.0,404344.0,-7.729735077063094,10.0,30.0
20001442,2.0,2.0,1.0,10615.0,0.42958078191238813,2.0,0.0
20001444,98.0,98.0,1.0,471474.0,-71.93313523121105,98.0,0.0
20001451,1.0,1.0,1.0,108.0,0.0,1.0,0.0
20001457,7.0,7.0,1.0,2542.0,2142.3001573564125,7.0,0.0
20001458,48.0,48.0,1.0,336644.0,110.83948919333183,48.0,0.0
20001460,23.0,21.0,1.0,1068312.0,-26.40540497532556,23.0,0.0
20001461,18.0,17.0,1.0,74896.0,69.29235206152532,18.0,41.0
20001468,22.0,22.0,1.0,18111.0,23.151510131964,22.0,0.0
20001472,21.0,21.0,1.0,124180.0,-39.269624738283134,21.0,0.0
20001475,2.0,2.0,1.0,14211.0,0.52086411934417,2.0,14.0
20001477,75.0,74.0,1.0,522617.0,5.315523605240549,75.0,0.0
20001480,29.0,29.0,1.0,206527.0,355.2520348429019,29.0,32.0
20001487,2.0,2.0,1.0,3755.0,4.564580559254328,2.0,5.0
20001488,3.0,3.0,1.0,4936.0,59.10474068071313,3.0,0.0
20001496,28.0,27.0,1.0,121580.0,-43.69314854416845,28.0,0.0
20001498,27.0,27.0,1.0,117184.0,-11.22836735390497,27.0,0.0
20001508,4.0,4.0,1.0,9177.0,69.30674512367877,4.0,10.0
20001514,1.0,1.0,1.0,3257.0,-0.8179306109917102,1.0,0.0
20001518,5.0,4.0,1.0,8128.0,123.04613681102362,5.0,8.0
20001531,467.0,468.0,1.0,699152.0,74.73422517564134,467.0,50.0
20001538,1.0,1.0,1.0,2024.0,0.15760869565217392,1.0,4.0
20001540,33.0,33.0,1.0,406473.0,-0.8152890843918292,33.0,37.0
20001547,1.0,1.0,1.0,4577.0,-13.454883111208215,1.0,0.0
20001554,65.0,64.0,1.0,481881.0,-33.38782604003893,65.0,0.0
20001562,238.0,236.0,1.0,480707.0,126.52182930558531,238.0,0.0
20001568,15.0,15.0,1.0,44890.0,8.980329694809534,15.0,27.0
20001570,8.0,8.0,1.0,375383.0,1.0242205960312534,8.0,0.0
20001573,5.0,5.0,1.0,14607.0,-19.256452385842405,5.0,0.0
20001580,23.0,22.0,1.0,1210773.0,8.278421306058195,23.0,0.0
20001582,20.0,18.0,1.0,1158476.0,-10.32687686236055,20.0,0.0
20001590,57.0,56.0,1.0,141378.0,-22.76018899687363,57.0,0.0
20001597,127.0,126.0,1.0,419790.0,-9.349724862431216,127.0,46.0
20001598,4.0,4.0,1.0,184075.0,0.008474806464756214,4.0,5.0
20001605,96.0,95.0,1.0,336468.0,-6.347263335592092,96.0,47.0
20001607,73.0,72.0,1.0,250016.0,137.39371480225265,73.0,0.0
20001619,1.0,1.0,1.0,152.0,0.0,1.0,0.0
20001623,120.0,122.0,1.0,359402.0,15.156084273320683,120.0,48.0
20001628,40.0,38.0,1.0,254703.0,-26.37933593243896,40.0,0.0
20001636,1.0,1.0,1.0,1989.0,101.2770236299648,1.0,0.0
20001643,54.0,55.0,1.0,383737.0,768.4946278310405,54.0,48.0
20001653,10.0,9.0,1.0,33450.0,0.3813751868460389,10.0,10.0
20001660,28.0,28.0,1.0,65605.0,31.868546604679523,28.0,0.0
20001667,30.0,28.0,1.0,933417.0,-0.33192238838589827,30.0,30.0
20001675,3.0,3.0,1.0,218.0,-935.7844036697247,3.0,0.0
20001677,76.0,76.0,1.0,248025.0,6.3348452776937805,76.0,38.0
20001680,10.0,10.0,1.0,13143.0,100.0215323746481,10.0,12.0
20001684,33.0,33.0,1.0,171199.0,-85.95675792498788,33.0,0.0
20001686,26.0,26.0,1.0,11590.0,-17088.559792924934,26.0,0.0
20001688,17.0,16.0,1.0,100009.0,203.15120639142478,17.0,0.0
20001703,6.0,7.0,1.0,33524.0,0.5395835819114664,6.0,12.0
20001704,1.0,1.0,1.0,192.0,2083.3333333333335,1.0,0.0
20001713,6.0,5.0,1.0,190086.0,3.023836579232558,6.0,30.0
20001720,1.0,1.0,1.0,1743.0,-1721.215720022949,1.0,0.0
20001725,17.0,15.0,1.0,1107021.0,-56.39729417960454,17.0,0.0
20001726,15.0,15.0,1.0,10297.0,-5.297853743808877,15.0,0.0
20001732,1.0,1.0,1.0,55.0,0.0,1.0,0.0
20001736,7.0,7.0,1.0,6534.0,4.859657177838996,7.0,0.0
20001745,16.0,15.0,1.0,1055222.0,26.64744764608774,16.0,46.0
20001747,10.0,10.0,1.0,14400.0,-2.9500694444444444,10.0,22.0
20001752,7.0,7.0,1.0,10394.0,-6064.706753896478,7.0,2.0
20001758,1.0,1.0,1.0,167.0,0.0,1.0,0.0
20001760,223.0,222.0,1.0,502186.0,-0.7736555778137981,223.0,38.0
20001765,168.0,166.0,1.0,325364.0,100.1610565397524,168.0,0.0
20001775,2.0,2.0,1.0,1297.0,0.36391673091750193,2.0,0.0
20001780,15.0,16.0,1.0,141942.0,1.507101492158769,15.0,24.0
20001781,46.0,44.0,1.0,480281.0,11.622269046662266,46.0,34.0
20001792,4.0,4.0,1.0,21165.0,4.510370895346091,4.0,15.0
20001794,36.0,36.0,1.0,135265.0,3.476863933759657,36.0,0.0
20001807,1.0,1.0,1.0,3224.0,0.02729528535980149,1.0,4.0
20001808,9.0,9.0,1.0,52553.0,-42.03137784712576,9.0,19.0
20001809,23.0,20.0,1.0,394869.0,0.2743846693460363,23.0,33.0
20001814,18.0,18.0,1.0,2607.0,34528.436900652094,18.0,0.0
20001815,25.0,25.0,1.0,525549.0,0.01667018679514184,25.0,24.0
20001816,47.0,47.0,1.0,80191.0,-297.0283198862715,47.0,0.0
20001818,2.0,2.0,1.0,1047.0,0.670487106017192,2.0,3.0
20001820,51.0,50.0,1.0,833184.0,-0.21570865499097439,51.0,42.0
20001840,6.0,6.0,1.0,2359.0,-100.3963543874523,6.0,0.0
20001841,1.0,1.0,1.0,2090.0,-1.6688995215311004,1.0,0.0
20001842,5.0,5.0,1.0,14307.0,0.6347941567065073,5.0,13.0
20001843,259.0,257.0,1.0,381106.0,-1.5378162505969468,259.0,30.0
20001847,40.0,39.0,1.0,244288.0,-3.9846410793817135,40.0,47.0
20001849,35.0,36.0,1.0,929556.0,10.718833507610086,35.0,39.0
20001856,8.0,8.0,1.0,48338.0,8.504737473623237,8.0,16.0
20001860,2.0,2.0,1.0,2005.0,0.7331670822942643,2.0,0.0
20001861,3.0,3.0,1.0,1640.0,-540.6731707317073,3.0,0.0
20001864,3.0,3.0,1.0,2937.0,-5.171944160708206,3.0,0.0
20001865,19.0,18.0,1.0,1251861.0,58.14408788196133,19.0,0.0
20001871,72.0,71.0,1.0,335567.0,191.42432956756772,72.0,44.0
20001877,2.0,2.0,1.0,2965.0,0.0,2.0,0.0
20001882,1.0,1.0,1.0,3329.0,0.20246320216281166,1.0,5.0
