,actor_account,trade_go,trade_come,buy_from_shop,sell_to_shop,buy_from_personal_shop,sell_to_person,mail_go,mail_come,invite,join,revival,fight,friend_num,friend_num_change_count,login_total_day,trade_go_perday,trade_come_perday,buy_from_shop_perday,sell_to_shop_perday,buy_from_personal_shop_perday,mail_go_perday,mail_come_perday,invite_perday,join_perday,revival_perday,fight_perday
22,20000108,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.18181818181818182,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,20000112,5.0,1.0,14.0,68.0,0.0,0.0,0.0,4.0,37.0,26.0,0.0,21.0,23.0,1.0,13.0,0.38461538461538464,0.07692307692307693,1.0769230769230769,5.230769230769231,0.0,0.0,0.3076923076923077,2.8461538461538463,2.0,0.0,1.6153846153846154
24,20000113,3.0,2.0,9.0,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,2.0,4.0,0.75,0.5,2.25,8.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5
25,20000117,45.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,179.0,0.0,0.0,0.0,15.0,3.0,2.2,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,6.533333333333333,11.933333333333334,0.0
26,20000124,60.0,22.0,83.0,304.0,1.0,0.0,3.0,32.0,105.0,98.0,10.0,24.0,28.0,15.0,15.0,4.0,1.4666666666666666,5.533333333333333,20.266666666666666,0.06666666666666667,0.2,2.1333333333333333,7.0,6.533333333333333,0.6666666666666666,1.6
27,20000130,16.0,16.0,29.0,317.0,0.0,0.0,41.0,54.0,18.0,48.0,1.0,0.0,19.0,5.0,14.0,1.1428571428571428,1.1428571428571428,2.0714285714285716,22.642857142857142,0.0,2.9285714285714284,3.857142857142857,1.2857142857142858,3.4285714285714284,0.07142857142857142,0.0
28,20000131,29.0,22.0,236.0,385.0,0.0,0.0,49.0,90.0,27.0,53.0,1.0,4.0,56.0,10.0,15.0,1.9333333333333333,1.4666666666666666,15.733333333333333,25.666666666666668,0.0,3.2666666666666666,6.0,1.8,3.533333333333333,0.06666666666666667,0.26666666666666666
29,20000143,2.0,1.0,14.0,23.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,2.0,38.0,6.0,2.0,1.0,0.5,7.0,11.5,0.0,0.0,3.0,0.0,3.0,0.0,1.0
30,20000154,21.0,17.0,99.0,134.0,0.0,0.0,5.0,10.0,13.0,8.0,0.0,0.0,24.0,3.0,8.0,2.625,2.125,12.375,16.75,0.0,0.625,1.25,1.625,1.0,0.0,0.0
31,20000157,440.0,489.0,132.0,54.0,0.0,1.0,0.0,0.0,104.0,41.0,0.0,6.0,40.0,1.0,15.0,29.333333333333332,32.6,8.8,3.6,0.0,0.0,0.0,6.933333333333334,2.7333333333333334,0.0,0.4
32,20000184,3.0,0.0,8.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.2,0.0,0.5333333333333333,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,20000196,307.0,151.0,2.0,5390.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,25.583333333333332,12.583333333333334,0.16666666666666666,449.1666666666667,0.0,0.25,0.08333333333333333,0.0,0.0,0.0,0.0
34,20000206,12.0,8.0,54.0,156.0,1.0,0.0,1.0,3.0,42.0,46.0,2.0,2.0,61.0,3.0,14.0,0.8571428571428571,0.5714285714285714,3.857142857142857,11.142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,3.0,3.2857142857142856,0.14285714285714285,0.14285714285714285
35,20000207,13.0,42.0,106.0,406.0,0.0,0.0,0.0,1.0,10.0,31.0,0.0,16.0,10.0,12.0,11.0,1.1818181818181819,3.8181818181818183,9.636363636363637,36.90909090909091,0.0,0.0,0.09090909090909091,0.9090909090909091,2.8181818181818183,0.0,1.4545454545454546
36,20000209,7.0,26.0,31.0,53.0,0.0,0.0,7.0,18.0,7.0,12.0,0.0,0.0,9.0,1.0,12.0,0.5833333333333334,2.1666666666666665,2.5833333333333335,4.416666666666667,0.0,0.5833333333333334,1.5,0.5833333333333334,1.0,0.0,0.0
37,20000217,1.0,4.0,61.0,82.0,0.0,0.0,0.0,15.0,18.0,25.0,2.0,2.0,22.0,1.0,7.0,0.14285714285714285,0.5714285714285714,8.714285714285714,11.714285714285714,0.0,0.0,2.142857142857143,2.5714285714285716,3.5714285714285716,0.2857142857142857,0.2857142857142857
38,20000222,1.0,0.0,17.0,124.0,0.0,0.0,10.0,12.0,31.0,21.0,3.0,0.0,0.0,0.0,11.0,0.09090909090909091,0.0,1.5454545454545454,11.272727272727273,0.0,0.9090909090909091,1.0909090909090908,2.8181818181818183,1.9090909090909092,0.2727272727272727,0.0
39,20000239,3.0,1.0,34.0,96.0,0.0,0.0,0.0,45.0,26.0,20.0,0.0,7.0,0.0,0.0,11.0,0.2727272727272727,0.09090909090909091,3.090909090909091,8.727272727272727,0.0,0.0,4.090909090909091,2.3636363636363638,1.8181818181818181,0.0,0.6363636363636364
40,20000249,4.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,9.0,0.4444444444444444,1.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.7777777777777778,0.4444444444444444,0.0,0.0
41,20000252,6.0,3.0,51.0,239.0,0.0,0.0,3.0,2.0,4.0,48.0,1.0,3.0,55.0,2.0,14.0,0.42857142857142855,0.21428571428571427,3.642857142857143,17.071428571428573,0.0,0.21428571428571427,0.14285714285714285,0.2857142857142857,3.4285714285714284,0.07142857142857142,0.21428571428571427
42,20000278,6.0,6.0,44.0,104.0,0.0,0.0,0.0,0.0,24.0,34.0,3.0,10.0,11.0,3.0,8.0,0.75,0.75,5.5,13.0,0.0,0.0,0.0,3.0,4.25,0.375,1.25
43,20000279,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,0.2,1.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0
44,20000297,1.0,0.0,23.0,61.0,0.0,0.0,1.0,16.0,46.0,17.0,3.0,0.0,0.0,0.0,11.0,0.09090909090909091,0.0,2.090909090909091,5.545454545454546,0.0,0.09090909090909091,1.4545454545454546,4.181818181818182,1.5454545454545454,0.2727272727272727,0.0
45,20000308,33.0,48.0,88.0,374.0,0.0,0.0,3.0,8.0,24.0,14.0,0.0,0.0,7.0,4.0,14.0,2.357142857142857,3.4285714285714284,6.285714285714286,26.714285714285715,0.0,0.21428571428571427,0.5714285714285714,1.7142857142857142,1.0,0.0,0.0
46,20000316,20.0,22.0,86.0,221.0,1.0,0.0,4.0,24.0,8.0,69.0,1.0,6.0,34.0,1.0,15.0,1.3333333333333333,1.4666666666666666,5.733333333333333,14.733333333333333,0.06666666666666667,0.26666666666666666,1.6,0.5333333333333333,4.6,0.06666666666666667,0.4
47,20000328,1.0,0.0,13.0,15.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.5,0.0,6.5,7.5,0.0,0.0,0.0,0.5,1.0,0.0,0.5
48,20000343,14.0,8.0,51.0,375.0,0.0,0.0,0.0,0.0,36.0,77.0,12.0,15.0,84.0,17.0,15.0,0.9333333333333333,0.5333333333333333,3.4,25.0,0.0,0.0,0.0,2.4,5.133333333333334,0.8,1.0
49,20000366,2.0,0.0,10.0,156.0,0.0,0.0,1.0,5.0,1.0,31.0,2.0,0.0,0.0,0.0,15.0,0.13333333333333333,0.0,0.6666666666666666,10.4,0.0,0.06666666666666667,0.3333333333333333,0.06666666666666667,2.066666666666667,0.13333333333333333,0.0
50,20000367,31.0,35.0,81.0,77.0,0.0,2.0,2.0,48.0,281.0,56.0,4.0,90.0,63.0,13.0,13.0,2.3846153846153846,2.6923076923076925,6.230769230769231,5.923076923076923,0.0,0.15384615384615385,3.6923076923076925,21.615384615384617,4.3076923076923075,0.3076923076923077,6.923076923076923
51,20000387,23.0,11.0,47.0,255.0,4.0,0.0,4.0,18.0,65.0,73.0,1.0,51.0,6.0,4.0,14.0,1.6428571428571428,0.7857142857142857,3.357142857142857,18.214285714285715,0.2857142857142857,0.2857142857142857,1.2857142857142858,4.642857142857143,5.214285714285714,0.07142857142857142,3.642857142857143
52,20000404,8.0,2.0,6.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.6666666666666665,0.6666666666666666,2.0,17.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,20000415,2.0,4.0,31.0,95.0,0.0,0.0,0.0,1.0,9.0,24.0,1.0,1.0,63.0,2.0,12.0,0.16666666666666666,0.3333333333333333,2.5833333333333335,7.916666666666667,0.0,0.0,0.08333333333333333,0.75,2.0,0.08333333333333333,0.08333333333333333
54,20000422,29.0,20.0,88.0,499.0,2.0,0.0,13.0,11.0,146.0,53.0,3.0,14.0,46.0,3.0,14.0,2.0714285714285716,1.4285714285714286,6.285714285714286,35.642857142857146,0.14285714285714285,0.9285714285714286,0.7857142857142857,10.428571428571429,3.7857142857142856,0.21428571428571427,1.0
55,20000427,101.0,37.0,28.0,343.0,0.0,0.0,21.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,7.769230769230769,2.8461538461538463,2.1538461538461537,26.384615384615383,0.0,1.6153846153846154,0.3076923076923077,0.07692307692307693,0.0,0.0,0.0
56,20000435,6.0,3.0,17.0,120.0,0.0,0.0,87.0,10.0,30.0,28.0,0.0,0.0,17.0,1.0,11.0,0.5454545454545454,0.2727272727272727,1.5454545454545454,10.909090909090908,0.0,7.909090909090909,0.9090909090909091,2.727272727272727,2.5454545454545454,0.0,0.0
57,20000436,148.0,68.0,33.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.142857142857142,9.714285714285714,4.714285714285714,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,20000439,96.0,32.0,45.0,118.0,0.0,0.0,28.0,6.0,14.0,9.0,0.0,0.0,2.0,2.0,10.0,9.6,3.2,4.5,11.8,0.0,2.8,0.6,1.4,0.9,0.0,0.0
59,20000440,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,20000456,31.0,17.0,14.0,97.0,0.0,0.0,11.0,5.0,78.0,30.0,5.0,6.0,20.0,4.0,11.0,2.8181818181818183,1.5454545454545454,1.2727272727272727,8.818181818181818,0.0,1.0,0.45454545454545453,7.090909090909091,2.727272727272727,0.45454545454545453,0.5454545454545454
61,20000457,18.0,8.0,174.0,905.0,3.0,0.0,30.0,26.0,104.0,77.0,5.0,1.0,67.0,10.0,14.0,1.2857142857142858,0.5714285714285714,12.428571428571429,64.64285714285714,0.21428571428571427,2.142857142857143,1.8571428571428572,7.428571428571429,5.5,0.35714285714285715,0.07142857142857142
62,20000466,89.0,577.0,58.0,721.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,13.0,6.846153846153846,44.38461538461539,4.461538461538462,55.46153846153846,0.0,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.0,0.0
63,20000478,2.0,0.0,8.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.13333333333333333,0.0,0.5333333333333333,17.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,20000479,5.0,1.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.3333333333333333,0.06666666666666667,7.133333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,20000482,12.0,33.0,66.0,116.0,3.0,0.0,2.0,74.0,144.0,43.0,1.0,83.0,31.0,5.0,14.0,0.8571428571428571,2.357142857142857,4.714285714285714,8.285714285714286,0.21428571428571427,0.14285714285714285,5.285714285714286,10.285714285714286,3.0714285714285716,0.07142857142857142,5.928571428571429
66,20000491,1.0,3.0,4.0,68.0,0.0,0.0,1.0,4.0,15.0,7.0,2.0,0.0,100.0,6.0,5.0,0.2,0.6,0.8,13.6,0.0,0.2,0.8,3.0,1.4,0.4,0.0
67,20000499,2.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,inf,inf,0.0,0.0,0.0,inf,0.0,0.0,0.0
68,20000508,4.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,97.0,1.0,4.0,1.0,0.0,0.0,4.75,0.0,0.0,0.0,1.0,0.5,0.0,0.25
69,20000513,40.0,5.0,94.0,101.0,5.0,0.0,60.0,9.0,10.0,19.0,0.0,0.0,2.0,1.0,14.0,2.857142857142857,0.35714285714285715,6.714285714285714,7.214285714285714,0.35714285714285715,4.285714285714286,0.6428571428571429,0.7142857142857143,1.3571428571428572,0.0,0.0
70,20000518,33.0,9.0,48.0,114.0,1.0,0.0,24.0,50.0,65.0,47.0,1.0,24.0,95.0,6.0,11.0,3.0,0.8181818181818182,4.363636363636363,10.363636363636363,0.09090909090909091,2.1818181818181817,4.545454545454546,5.909090909090909,4.2727272727272725,0.09090909090909091,2.1818181818181817
71,20000526,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
72,20000544,8.0,8.0,9.0,39.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,1.3333333333333333,1.3333333333333333,1.5,6.5,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0
73,20000549,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,20000550,6.0,1.0,3.0,82.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.3333333333333333,1.0,27.333333333333332,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
75,20000552,12.0,7.0,52.0,361.0,0.0,0.0,7.0,8.0,232.0,48.0,20.0,0.0,57.0,6.0,15.0,0.8,0.4666666666666667,3.466666666666667,24.066666666666666,0.0,0.4666666666666667,0.5333333333333333,15.466666666666667,3.2,1.3333333333333333,0.0
76,20000558,100.0,90.0,50.0,228.0,0.0,0.0,45.0,70.0,174.0,82.0,2.0,58.0,63.0,12.0,15.0,6.666666666666667,6.0,3.3333333333333335,15.2,0.0,3.0,4.666666666666667,11.6,5.466666666666667,0.13333333333333333,3.8666666666666667
77,20000581,1.0,0.0,39.0,141.0,0.0,0.0,0.0,13.0,14.0,28.0,0.0,0.0,5.0,1.0,13.0,0.07692307692307693,0.0,3.0,10.846153846153847,0.0,0.0,1.0,1.0769230769230769,2.1538461538461537,0.0,0.0
78,20000584,12.0,14.0,26.0,68.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,6.0,7.0,13.0,34.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5
79,20000585,6.0,0.0,11.0,99.0,0.0,0.0,6.0,1.0,6.0,34.0,9.0,2.0,76.0,1.0,11.0,0.5454545454545454,0.0,1.0,9.0,0.0,0.5454545454545454,0.09090909090909091,0.5454545454545454,3.090909090909091,0.8181818181818182,0.18181818181818182
80,20000601,19.0,11.0,54.0,201.0,0.0,0.0,1.0,1.0,11.0,73.0,4.0,15.0,70.0,12.0,11.0,1.7272727272727273,1.0,4.909090909090909,18.272727272727273,0.0,0.09090909090909091,0.09090909090909091,1.0,6.636363636363637,0.36363636363636365,1.3636363636363635
81,20000633,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,2.0,0.5,0.0
82,20000640,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,20000641,1.0,0.0,8.0,194.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.07692307692307693,0.0,0.6153846153846154,14.923076923076923,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
84,20000644,235.0,392.0,14.0,4.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.785714285714285,28.0,1.0,0.2857142857142857,0.0,0.0,1.5714285714285714,0.0,0.0,0.0,0.0
85,20000646,1.0,14.0,23.0,89.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,4.0,4.0,8.0,0.125,1.75,2.875,11.125,0.0,0.0,0.375,0.75,0.125,0.0,0.125
86,20000649,35.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,141.0,0.0,1.0,1.0,6.0,5.833333333333333,7.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.5,0.0
87,20000650,25.0,102.0,1807.0,166.0,0.0,1.0,8.0,14.0,15.0,75.0,0.0,0.0,0.0,0.0,10.0,2.5,10.2,180.7,16.6,0.0,0.8,1.4,1.5,7.5,0.0,0.0
88,20000654,12.0,23.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,12.0,23.0,8.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
89,20000657,8.0,10.0,51.0,242.0,0.0,0.0,2.0,1.0,7.0,7.0,0.0,0.0,1.0,1.0,9.0,0.8888888888888888,1.1111111111111112,5.666666666666667,26.88888888888889,0.0,0.2222222222222222,0.1111111111111111,0.7777777777777778,0.7777777777777778,0.0,0.0
90,20000659,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,20000689,9.0,9.0,26.0,31.0,0.0,0.0,0.0,4.0,63.0,45.0,0.0,18.0,18.0,3.0,15.0,0.6,0.6,1.7333333333333334,2.066666666666667,0.0,0.0,0.26666666666666666,4.2,3.0,0.0,1.2
92,20000690,18.0,22.0,26.0,145.0,0.0,0.0,0.0,1.0,10.0,12.0,0.0,0.0,2.0,1.0,10.0,1.8,2.2,2.6,14.5,0.0,0.0,0.1,1.0,1.2,0.0,0.0
93,20000693,2.0,1.0,14.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,14.0,27.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
94,20000705,25.0,4.0,43.0,153.0,2.0,0.0,18.0,64.0,50.0,17.0,0.0,1.0,15.0,1.0,9.0,2.7777777777777777,0.4444444444444444,4.777777777777778,17.0,0.2222222222222222,2.0,7.111111111111111,5.555555555555555,1.8888888888888888,0.0,0.1111111111111111
95,20000706,6.0,6.0,36.0,211.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,1.0,10.0,10.0,3.0,2.0,2.0,12.0,70.33333333333333,0.0,0.0,0.0,1.3333333333333333,5.0,0.0,0.3333333333333333
96,20000707,1.0,3.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,1.0,1.6666666666666667,10.333333333333334,0.0,0.0,0.0,0.0,1.0,0.0,0.0
97,20000719,3.0,2.0,96.0,415.0,2.0,0.0,2.0,3.0,12.0,36.0,3.0,2.0,4.0,1.0,15.0,0.2,0.13333333333333333,6.4,27.666666666666668,0.13333333333333333,0.13333333333333333,0.2,0.8,2.4,0.2,0.13333333333333333
98,20000727,62.0,30.0,8.0,51.0,1.0,3.0,3.0,5.0,2.0,6.0,1.0,1.0,0.0,0.0,6.0,10.333333333333334,5.0,1.3333333333333333,8.5,0.16666666666666666,0.5,0.8333333333333334,0.3333333333333333,1.0,0.16666666666666666,0.16666666666666666
99,20000731,3.0,7.0,75.0,204.0,0.0,0.0,1.0,12.0,5.0,44.0,2.0,0.0,62.0,4.0,14.0,0.21428571428571427,0.5,5.357142857142857,14.571428571428571,0.0,0.07142857142857142,0.8571428571428571,0.35714285714285715,3.142857142857143,0.14285714285714285,0.0
100,20000741,1.0,8.0,37.0,324.0,0.0,0.0,0.0,17.0,78.0,82.0,1.0,18.0,12.0,8.0,14.0,0.07142857142857142,0.5714285714285714,2.642857142857143,23.142857142857142,0.0,0.0,1.2142857142857142,5.571428571428571,5.857142857142857,0.07142857142857142,1.2857142857142858
101,20000751,1.0,0.0,18.0,104.0,0.0,0.0,15.0,23.0,2.0,11.0,0.0,2.0,1.0,1.0,13.0,0.07692307692307693,0.0,1.3846153846153846,8.0,0.0,1.1538461538461537,1.7692307692307692,0.15384615384615385,0.8461538461538461,0.0,0.15384615384615385
102,20000765,230.0,244.0,46.0,1698.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,17.692307692307693,18.76923076923077,3.5384615384615383,130.6153846153846,0.0,0.15384615384615385,0.38461538461538464,0.0,0.0,0.0,0.07692307692307693
