login_count,play_time,max_level,playtime_per_day,abyss,sit_count,exp_get_amout,money_get_count,teleport_count,killed_by_pc,killed_by_npc,reborn_count,login_total_day,sit_count_perday,login_total_day,item_get_count_perday,money_get_count_perday,use_portal_count_perday,teleport_count_perday,total_party_time,sit_count/play_time,killed_by_pc/play_time,killed_by_npc/play_time,total-party_time/play_time,teleport_count/play_time,play_time/login_count,exp_get_amount/play_time,playtime_per_day/login_total_day,max_level/login_count,reborn_count/login_count,sit_count/max_level,play_time/question_count,class,actor_account
1,12094,8,12094,0,0,83766,63,7,0,1,1,1,0,1,377,63,0,7,0,0,0,8.27E-05,0,0.000578799,12094,6.926244419,12094,8,1,0,1007.833333,0,20000105
19,20567,0,1869.727273,0,0,0,22,3,0,0,0,11,0,11,0,2,0,0.272727273,0,0,0,0,0,0.000145865,1082.473684,0,169.9752066,0,0,0,0,0,20000108
59,195585,29,13970.35714,0,149,24258735,1145,155,6,31,31,14,10.64285714,14,381.3571429,81.78571429,0,11.07142857,15892,0.000761817,3.07E-05,0.000158499,0.081253675,0.000792494,3315,124.0316742,997.8826529,0.491525424,0.525423729,5.137931034,1130.549133,0,20000111
36,1148470,0,76564.66667,0,499,760109571,13561,356,62,470,388,15,33.26666667,15,86,904.0666667,0,23.73333333,17138,0.000434491,5.40E-05,0.00040924,0.014922462,0.000309978,31901.94444,661.8453865,5104.311111,0,10.77777778,0,0,0,20000117
176,512291,48,34152.73333,0,432,609662121,6775,622,40,138,131,15,28.8,15,5103.933333,451.6666667,0.133333333,41.46666667,76945,0.000843271,7.81E-05,0.000269378,0.150197837,0.001214154,2910.744318,1190.069943,2276.848889,0.272727273,0.744318182,9,623.9841657,0,20000124
15,1096369,50,73091.26667,0,3998,1080547267,51,47,5,7,11,15,266.5333333,15,4960.466667,3.4,0,3.133333333,0,0.003646582,4.56E-06,6.38E-06,0,4.29E-05,73091.26667,985.5689708,4872.751111,3.333333333,0.733333333,79.96,1812.180165,0,20000135
28,128679,39,16084.875,0,62,41390924,269,101,4,29,28,8,7.75,8,5856.125,33.625,0,12.625,18980,0.000481819,3.11E-05,0.000225367,0.147498815,0.000784899,4595.678571,321.6602864,2010.609375,1.392857143,1,1.58974359,489.2737643,0,20000154
42,946368,0,78864,0,9,11137705,70888,249,0,54,54,12,0.75,12,6915.083333,5907.333333,0,20.75,0,9.51E-06,0,5.71E-05,0,0.000263111,22532.57143,11.76889434,6572,0,1.285714286,0,0,1,20000196
251,330904,40,23636,0,241,306293745,2792,404,95,59,101,14,17.21428571,14,6763.142857,199.4285714,0.142857143,28.85714286,16885,0.000728308,0.000287092,0.000178299,0.051026884,0.001220898,1318.342629,925.6272061,1688.285714,0.15936255,0.402390438,6.025,7695.44186,0,20000206
5,16571,12,5523.666667,0,41,563795,166,15,0,3,3,3,13.66666667,3,507.6666667,55.33333333,0,5,0,0.002474202,0,0.000181039,0,0.000905196,3314.2,34.02299197,1841.222222,2.4,0.6,3.416666667,236.7285714,0,20000208
32,143304,0,13027.63636,0,0,164703,127,65,4,0,29,11,0,11,3.454545455,11.54545455,0,5.909090909,0,0,2.79E-05,0,0,0.000453581,4478.25,1.149325909,1184.330578,0,0.90625,0,0,0,20000215
45,97283,39,8843.909091,0,95,69811716,721,116,7,37,27,11,8.636363636,11,225.7272727,65.54545455,0,10.54545455,12663,0.000976532,7.20E-05,0.000380334,0.130166627,0.001192397,2161.844444,717.6147528,803.9917355,0.866666667,0.6,2.435897436,1737.196429,1,20000222
61,137298,39,17162.25,0,224,55254629,1421,176,1,35,31,8,28,8,1997,177.625,0,22,34995,0.001631488,7.28E-06,0.00025492,0.254883538,0.001281883,2250.786885,402.4430727,2145.28125,0.639344262,0.508196721,5.743589744,4038.176471,0,20000278
56,29606,0,1973.733333,0,0,0,51,8,0,0,0,15,0,15,5653.333333,3.4,0,0.533333333,84,0,0,0,0.002837263,0.000270215,528.6785714,0,131.5822222,0,0,0,0,0,20000279
5,30499,16,7624.75,0,5,1688862,412,30,0,6,6,4,1.25,4,2815.5,103,0,7.5,1400,0.00016394,0,0.000196728,0.045903144,0.000983639,6099.8,55.37434014,1906.1875,3.2,1.2,0.3125,448.5147059,0,20000290
191,349486,31,23299.06667,0,595,358808938,3979,493,163,43,153,15,39.66666667,15,11228.73333,265.2666667,0,32.86666667,72049,0.0017025,0.000466399,0.000123038,0.206157042,0.001410643,1829.769634,1026.676142,1553.271111,0.162303665,0.80104712,19.19354839,619.6560284,0,20000316
6,11707,11,5853.5,0,2,320509,99,9,0,1,1,2,1,2,2657.5,49.5,0,4.5,0,0.000170838,0,8.54E-05,0,0.000768771,1951.166667,27.37755189,2926.75,1.833333333,0.166666667,0.181818182,260.1555556,0,20000328
53,444172,0,29611.46667,0,295,379809859,3410,379,17,122,104,15,19.66666667,15,198.2,227.3333333,0,25.26666667,86211,0.000664157,3.83E-05,0.000274668,0.194093729,0.000853273,8380.603774,855.0963568,1974.097778,0,1.962264151,0,7050.349206,0,20000343
18,1110169,47,79297.78571,0,1129,479411310,19272,230,193,30,167,14,80.64285714,14,3337.142857,1376.571429,0,16.42857143,0,0.001016962,0.000173847,2.70E-05,0,0.000207176,61676.05556,431.836333,5664.127551,2.611111111,9.277777778,24.0212766,370.0563333,0,20000350
134,371994,40,26571,0,398,314653638,2581,414,30,60,49,14,28.42857143,14,1221.571429,184.3571429,0,29.57142857,31232,0.00106991,8.06E-05,0.000161293,0.083958343,0.001112921,2776.074627,845.8567558,1897.928571,0.298507463,0.365671642,9.95,8266.533333,0,20000387
17,1084347,46,72289.8,0,11137,616150845,6938,343,87,263,304,15,742.4666667,15,2769.866667,462.5333333,0,22.86666667,0,0.010270697,8.02E-05,0.000242542,0,0.000316319,63785.11765,568.2229443,4819.32,2.705882353,17.88235294,242.1086957,1084347,0,20000405
4,20204,0,10102,0,58,6267851,8,12,0,2,1,2,29,2,37,4,0,6,1992,0.002870719,0,9.90E-05,0.098594338,0.000593942,5051,310.2282221,5051,0,0.25,0,0,0,20000412
32,947297,31,72869,0,3808,38352741,129,143,33,26,63,13,292.9230769,13,5472.769231,9.923076923,0,11,8,0.004019859,3.48E-05,2.74E-05,8.45E-06,0.000150956,29603.03125,40.48650107,5605.307692,0.96875,1.96875,122.8387097,189459.4,1,20000427
20,154836,24,15483.6,0,6,10389198,751,134,0,25,24,10,0.6,10,385.8,75.1,0,13.4,29222,3.88E-05,0,0.000161461,0.188728719,0.000865432,7741.8,67.09807797,1548.36,1.2,1.2,0.25,889.862069,0,20000439
50,76262,23,8473.555556,0,43,12973754,268,35,1,10,8,9,4.777777778,9,58.77777778,29.77777778,0,3.888888889,0,0.000563846,1.31E-05,0.000131127,0,0.000458944,1525.24,170.1208203,941.5061729,0.46,0.16,1.869565217,5866.307692,0,20000454
18,164903,0,14991.18182,0,318,98185519,2621,424,14,35,116,11,28.90909091,11,2885,238.2727273,0,38.54545455,6122,0.001928406,8.49E-05,0.000212246,0.037124855,0.002571209,9161.277778,595.4137826,1362.834711,0,6.444444444,0,4122.575,0,20000456
178,689146,0,49224.71429,0,428,769943967,5064,624,25,55,46,14,30.57142857,14,4699.285714,361.7142857,0.071428571,44.57142857,36384,0.000621059,3.63E-05,7.98E-05,0.052795779,0.000905469,3871.606742,1117.243613,3516.051021,0,0.258426966,0,1580.610092,0,20000457
8,78748,0,15749.6,0,32,129738309,754,82,4,13,11,5,6.4,5,1221.2,150.8,0,16.4,5533,0.00040636,5.08E-05,0.000165084,0.070262102,0.001041296,9843.5,1647.512432,3149.92,0,1.375,0,4632.235294,0,20000491
4,14586,0,3646.5,0,4,12192578,152,14,0,2,2,4,1,4,20.25,38,0,3.5,0,0.000274236,0,0.000137118,0,0.000959824,3646.5,835.9096394,911.625,0,0.5,0,7293,0,20000508
15,828781,35,69065.08333,0,547,92015865,68,159,84,37,104,12,45.58333333,12,4810.083333,5.666666667,0,13.25,659,0.000660005,0.000101354,4.46E-05,0.000795144,0.000191848,55252.06667,111.0255484,5755.423611,2.333333333,6.933333333,15.62857143,2098.179747,0,20000512
85,221198,43,20108.90909,0,416,228964244,2268,386,127,55,121,11,37.81818182,11,10525.90909,206.1818182,0,35.09090909,13596,0.001880668,0.000574146,0.000248646,0.061465294,0.001745043,2602.329412,1035.10992,1828.082645,0.505882353,1.423529412,9.674418605,3949.964286,0,20000518
103,493728,49,32915.2,0,293,548989167,4586,413,10,135,105,15,19.53333333,15,6190.266667,305.7333333,0,27.53333333,65712,0.000593444,2.03E-05,0.00027343,0.133093525,0.000836493,4793.475728,1111.926338,2194.346667,0.475728155,1.019417476,5.979591837,4448,0,20000552
290,522497,37,34833.13333,356,421,312090317,3012,578,163,104,165,15,28.06666667,15,9149.8,200.8,0.2,38.53333333,72890,0.000805746,0.000311964,0.000199044,0.139503193,0.001106226,1801.713793,597.3054716,2322.208889,0.127586207,0.568965517,11.37837838,7359.112676,0,20000558
75,139876,36,10759.69231,0,154,89247279,1472,272,38,42,53,13,11.84615385,13,3923.153846,113.2307692,0,20.92307692,8948,0.001100975,0.000271669,0.000300266,0.063970946,0.001944579,1865.013333,638.0456905,827.6686392,0.48,0.706666667,4.277777778,1726.864198,0,20000581
2,24075,14,12037.5,0,31,860846,240,19,0,0,0,2,15.5,2,626.5,120,0,9.5,0,0.001287643,0,0,0,0.0007892,12037.5,35.7568432,6018.75,7,0,2.214285714,408.0508475,0,20000584
36,242071,50,22006.45455,0,241,272978709,2174,314,36,35,49,11,21.90909091,11,2097.363636,197.6363636,0.090909091,28.54545455,46440,0.000995576,0.000148717,0.000144586,0.191844541,0.00129714,6724.194444,1127.680346,2000.586777,1.388888889,1.361111111,4.82,1571.88961,0,20000601
14,1055422,0,81186.30769,0,1333,989112822,6692,141,0,78,63,13,102.5384615,13,6487.923077,514.7692308,0,10.84615385,0,0.001263002,0,7.39E-05,0,0.000133596,75387.28571,937.1728294,6245.100592,0,4.5,0,1055422,0,20000641
47,63901,0,4564.357143,0,0,3000,90,46,0,0,0,14,0,14,7069.428571,6.428571429,0,3.285714286,0,0,0,0,0,0.000719864,1359.595745,0.046947622,326.0255102,0,0,0,31950.5,0,20000644
9,54623,16,6827.875,0,40,1264759,303,34,0,6,7,8,5,8,126.375,37.875,0,4.25,2009,0.000732292,0,0.000109844,0.036779379,0.000622448,6069.222222,23.15433059,853.484375,1.777777778,0.777777778,2.5,691.4303797,0,20000646
214,358621,25,35862.1,0,17,28195828,212,58,12,6,20,10,1.7,10,11830.4,21.2,0.4,5.8,3397,4.74E-05,3.35E-05,1.67E-05,0.009472396,0.000161731,1675.799065,78.62291388,3586.21,0.11682243,0.093457944,0.68,399.3552339,1,20000650
20,90687,22,10076.33333,0,103,13367582,936,72,15,17,27,9,11.44444444,9,1453.222222,104,0,8,3488,0.001135775,0.000165404,0.000187458,0.038461963,0.00079394,4534.35,147.4035088,1119.592592,1.1,1.35,4.681818182,1209.16,0,20000657
62,264077,39,17605.13333,0,482,67373238,628,424,119,165,235,15,32.13333333,15,46.6,41.86666667,1.066666667,28.26666667,73125,0.001825225,0.000450626,0.000624818,0.276907872,0.001605592,4259.306452,255.127247,1173.675555,0.629032258,3.790322581,12.35897436,3772.528571,0,20000689
59,179527,37,19947.44444,0,66,68274662,393,241,29,41,53,9,7.333333333,9,769.8888889,43.66666667,0.111111111,26.77777778,20904,0.000367633,0.000161536,0.000228378,0.11643931,0.001342416,3042.830508,380.3030296,2216.382716,0.627118644,0.898305085,1.783783784,4378.707317,0,20000705
15,102569,23,34189.66667,0,227,8703857,799,72,0,22,21,3,75.66666667,3,1773.666667,266.3333333,0,24,31645,0.002213144,0,0.00021449,0.308524018,0.000701966,6837.933333,84.85855375,11396.55556,1.533333333,1.4,9.869565217,861.9243697,0,20000706
43,546486,0,36432.4,0,493,576437222,5406,828,255,115,233,15,32.86666667,15,20354.6,360.4,0,55.2,9548,0.000902127,0.000466618,0.000210435,0.017471628,0.001515135,12708.97674,1054.806934,2428.826667,0,5.418604651,0,836.8851455,0,20000719
5,26657,0,8885.666667,0,16,59477271,537,35,11,9,13,3,5.333333333,3,10933.33333,179,0,11.66666667,0,0.000600218,0.00041265,0.000337622,0,0.001312976,5331.4,2231.206475,2961.888889,0,2.6,0,4442.833333,0,20000726
103,308701,0,22050.07143,0,345,394518044,4678,377,152,32,111,14,24.64285714,14,512.3571429,334.1428571,0,26.92857143,4295,0.001117586,0.000492386,0.00010366,0.013913139,0.001221246,2997.097087,1277.994059,1575.005102,0,1.077669903,0,808.117801,0,20000731
41,373738,37,26695.57143,0,528,118055081,774,405,36,109,98,14,37.71428571,14,1067.214286,55.28571429,0.357142857,28.92857143,46372,0.001412754,9.63E-05,0.000291648,0.124076225,0.001083647,9115.560976,315.8765793,1906.826531,0.902439024,2.390243902,14.27027027,4062.369565,0,20000741
11,57095,0,11419,0,9,14301740,34,26,16,1,15,5,1.8,5,48,6.8,0,5.2,359,0.000157632,0.000280235,1.75E-05,0.006287766,0.000455381,5190.454545,250.4902356,2283.8,0,1.363636364,0,7136.875,0,20000744
77,73288,36,5637.538462,0,104,21637752,54,82,14,12,21,13,8,13,876,4.153846154,0.461538462,6.307692308,23,0.001419059,0.000191027,0.000163738,0.00031383,0.001118873,951.7922078,295.2427683,433.6568048,0.467532468,0.272727273,2.888888889,10469.71429,0,20000751
80,91345,30,7612.083333,0,132,23809250,353,207,7,4,105,12,11,12,246.9166667,29.41666667,0,17.25,0,0.001445071,7.66E-05,4.38E-05,0,0.002266134,1141.8125,260.651924,634.3402777,0.375,1.3125,4.4,519.0056818,0,20000761
9,111835,25,15976.42857,0,214,10064894,292,35,0,8,7,7,30.57142857,7,375.7142857,41.71428571,0,5,4595,0.001913533,0,7.15E-05,0.041087316,0.000312961,12426.11111,89.99771091,2282.346939,2.777777778,0.777777778,8.56,5325.47619,1,20000766
1,11238,0,11238,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,11238,0,11238,0,0,0,0,0,20000776
70,103424,43,14774.85714,0,164,165578340,699,122,33,10,31,7,23.42857143,7,3663.142857,99.85714286,0,17.42857143,8742,0.001585705,0.000319075,9.67E-05,0.084525835,0.00117961,1477.485714,1600.966313,2110.693877,0.614285714,0.442857143,3.813953488,1436.444444,0,20000799
7,26044,0,6511,0,8,23533252,114,9,0,0,0,4,2,4,613.5,28.5,0,2.25,0,0.000307172,0,0,0,0.000345569,3720.571429,903.5959146,1627.75,0,0,0,456.9122807,0,20000814
8,82786,13,13797.66667,0,165,1643099,531,133,0,63,61,6,27.5,6,360.8333333,88.5,0,22.16666667,6461,0.001993091,0,0.000760998,0.078044597,0.001606552,10348.25,19.84754669,2299.611112,1.625,7.625,12.69230769,449.923913,0,20000816
3,11061,7,5530.5,0,59,82842,91,12,0,12,11,2,29.5,2,91.5,45.5,0,6,758,0.005334057,0,0.001084893,0.068529066,0.001084893,3687,7.489557906,2765.25,2.333333333,3.666666667,8.428571429,650.6470588,0,20000843
15,960198,0,64013.2,0,7,1263306060,32,42,0,10,8,15,0.466666667,15,5231.266667,2.133333333,0,2.8,0,7.29E-06,0,1.04E-05,0,4.37E-05,64013.2,1315.672455,4267.546667,0,0.533333333,0,0,0,20000868
3,13302,21,4434,0,47,1585982,75,9,0,0,0,3,15.66666667,3,40.33333333,25,0,3,0,0.003533303,0,0,0,0.00067659,4434,119.2288378,1478,7,0,2.238095238,6651,0,20000871
7,31988,26,7997,0,28,6948618,150,35,2,10,11,4,7,4,119,37.5,0,8.75,1308,0.000875328,6.25E-05,0.000312617,0.040890334,0.00109416,4569.714286,217.2257722,1999.25,3.714285714,1.571428571,1.076923077,2284.857143,0,20000880
311,562309,29,37487.26667,0,274,543124970,9156,771,80,38,174,15,18.26666667,15,8907.866667,610.4,0,51.4,35121,0.000487277,0.000142271,6.76E-05,0.062458541,0.001371132,1808.067524,965.8834733,2499.151111,0.093247588,0.559485531,9.448275862,905.489533,0,20000959
18,122353,49,15294.125,0,37,159568767,1508,110,10,31,30,8,4.625,8,8864.5,188.5,0,13.75,918,0.000302404,8.17E-05,0.000253365,0.007502881,0.000899038,6797.388889,1304.16718,1911.765625,2.722222222,1.666666667,0.755102041,8156.866667,0,20000960
234,795390,39,53026,377,275,608079660,6496,792,146,74,135,15,18.33333333,15,21529.13333,433.0666667,0.133333333,52.8,114901,0.000345742,0.000183558,9.30E-05,0.144458693,0.000995738,3399.102564,764.5050353,3535.066667,0.166666667,0.576923077,7.051282051,1190.703593,0,20000971
96,278178,0,18545.2,0,311,387753995,5103,349,91,15,67,15,20.73333333,15,502.5333333,340.2,0.2,23.26666667,56308,0.001117989,0.000327129,5.39E-05,0.202417157,0.001254592,2897.6875,1393.906042,1236.346667,0,0.697916667,0,924.179402,0,20000974
72,367565,15,36756.5,0,394,319814839,1070,380,0,55,39,10,39.4,10,12372.7,107,0,38,15334,0.001071919,0,0.000149633,0.041717791,0.001033831,5105.069444,870.0905663,3675.65,0.208333333,0.541666667,26.26666667,712.3352713,0,20000988
9,25599,0,12799.5,0,28,25882005,154,39,9,3,9,2,14,2,958,77,0,19.5,0,0.001093793,0.000351576,0.000117192,0,0.001523497,2844.333333,1011.055315,6399.75,0,1,0,25599,0,20000998
104,416544,13,27769.6,0,49,158365313,2078,416,35,22,53,15,3.266666667,15,8236.4,138.5333333,0,27.73333333,1225,0.000117635,8.40E-05,5.28E-05,0.002940866,0.000998694,4005.230769,380.1886787,1851.306667,0.125,0.509615385,3.769230769,733.3521127,0,20001025
230,725413,34,51815.21429,302,428,818986357,8345,941,169,124,189,14,30.57142857,14,22205,596.0714286,0.071428571,67.21428571,96613,0.000590009,0.000232971,0.000170937,0.133183442,0.001297192,3153.969565,1128.993218,3701.086735,0.147826087,0.82173913,12.58823529,3609.0199,0,20001026
12,36761,26,18380.5,0,46,6118788,213,34,1,17,17,2,23,2,422.5,106.5,0,17,0,0.001251326,2.72E-05,0.000462447,0,0.000924893,3063.416667,166.4478115,9190.25,2.166666667,1.416666667,1.769230769,3063.416667,0,20001033
11,49628,42,24814,0,27,60930913,570,59,4,16,17,2,13.5,2,15383,285,0,29.5,0,0.000544048,8.06E-05,0.000322399,0,0.001188845,4511.636364,1227.75274,12407,3.818181818,1.545454545,0.642857143,1550.875,0,20001088
71,124237,38,17748.14286,0,43,61395315,1106,145,17,8,20,7,6.142857143,7,7253.857143,158,0,20.71428571,7913,0.000346113,0.000136835,6.44E-05,0.063692781,0.001167124,1749.816901,494.1789885,2535.44898,0.535211268,0.281690141,1.131578947,887.4071429,0,20001111
84,361079,0,25791.35714,0,438,363402823,3362,450,140,94,146,14,31.28571429,14,7336.071429,240.1428571,0.071428571,32.14285714,39167,0.001213031,0.000387727,0.000260331,0.108472107,0.001246265,4298.559524,1006.435774,1842.239796,0,1.738095238,0,1025.792614,0,20001112
216,399319,43,26621.26667,0,477,601663593,5420,387,5,31,35,15,31.8,15,1976.6,361.3333333,0.2,25.8,10339,0.001194534,1.25E-05,7.76E-05,0.02589158,0.00096915,1848.699074,1506.72418,1774.751111,0.199074074,0.162037037,11.09302326,3119.679688,0,20001113
6,20767,20,6922.333333,0,41,1485270,52,21,0,3,6,3,13.66666667,3,281.3333333,17.33333333,0,7,64,0.001974286,0,0.00014446,0.003081812,0.00101122,3461.166667,71.52068185,2307.444444,3.333333333,1,2.05,2076.7,0,20001116
84,51212,0,3414.133333,0,0,0,96,11,0,0,0,15,0,15,1100.466667,6.4,0,0.733333333,0,0,0,0,0,0.000214793,609.6666667,0,227.6088889,0,0,0,0,0,20001126
18,41370,38,6895,0,47,43729047,731,60,28,4,26,6,7.833333333,6,9065.666667,121.8333333,0,10,3550,0.001136089,0.000676819,9.67E-05,0.085810974,0.001450326,2298.333333,1057.023133,1149.166667,2.111111111,1.444444444,1.236842105,41370,0,20001127
24,1215245,50,86803.21429,0,3616,1990668686,31415,166,21,61,73,14,258.2857143,14,6565.428571,2243.928571,0,11.85714286,0,0.002975532,1.73E-05,5.02E-05,0,0.000136598,50635.20833,1638.080129,6200.229592,2.083333333,3.041666667,72.32,1884.100775,0,20001167
164,321282,38,24714,0,205,343924297,3824,324,49,10,26,13,15.76923077,13,3129.615385,294.1538462,0.076923077,24.92307692,46064,0.000638069,0.000152514,3.11E-05,0.143375601,0.00100846,1959.036585,1070.474838,1901.076923,0.231707317,0.158536585,5.394736842,1889.894118,0,20001175
73,240223,35,17158.78571,0,386,76506842,1378,224,16,39,47,14,27.57142857,14,8931.214286,98.42857143,0,16,17625,0.00160684,6.66E-05,0.000162349,0.073369328,0.000932467,3290.726027,318.4825849,1225.627551,0.479452055,0.643835616,11.02857143,1264.331579,0,20001194
132,456211,40,30414.06667,0,123,196924050,1273,377,29,27,36,15,8.2,15,10538.26667,84.86666667,0.266666667,25.13333333,56572,0.000269612,6.36E-05,5.92E-05,0.124004024,0.000826372,3456.143939,431.6512535,2027.604445,0.303030303,0.272727273,3.075,2045.789238,0,20001201
15,43959,0,7326.5,0,43,43828477,208,60,4,14,11,6,7.166666667,6,190.8333333,34.66666667,0,10,682,0.000978184,9.10E-05,0.000318479,0.015514457,0.001364908,2930.6,997.0308014,1221.083333,0,0.733333333,0,3139.928571,0,20001208
31,991702,38,76284.76923,0,2497,286396885,1430,387,84,52,318,13,192.0769231,13,4577.692308,110,0,29.76923077,0,0.002517893,8.47E-05,5.24E-05,0,0.000390238,31990.3871,288.7932917,5868.059172,1.225806452,10.25806452,65.71052632,330567.3333,1,20001222
11,142332,0,14233.2,0,139,166350986,1580,183,60,24,57,10,13.9,10,4137.2,158,0,18.3,1898,0.00097659,0.00042155,0.00016862,0.01333502,0.001285726,12939.27273,1168.753239,1423.32,0,5.181818182,0,9488.8,0,20001231
24,375198,34,62533,0,1833,73633218,2085,116,34,46,69,6,305.5,6,6569.166667,347.5,0,19.33333333,0,0.00488542,9.06E-05,0.000122602,0,0.00030917,15633.25,196.2516271,10422.16667,1.416666667,2.875,53.91176471,34108.90909,0,20001239
72,194673,44,24334.125,0,281,118934197,1833,331,91,52,85,8,35.125,8,9120.875,229.125,0.25,41.375,52104,0.001443446,0.000467451,0.000267115,0.267648826,0.001700287,2703.791667,610.9434642,3041.765625,0.611111111,1.180555556,6.386363636,442.4386364,0,20001256
72,299018,43,19934.53333,0,122,285951757,2826,355,42,39,66,15,8.133333333,15,10867.73333,188.4,0.666666667,23.66666667,33203,0.000408002,0.00014046,0.000130427,0.111040138,0.001187219,4153.027778,956.3028212,1328.968889,0.597222222,0.916666667,2.837209302,1196.072,0,20001264
37,24565,0,2456.5,0,2,3095128,29,8,0,6,5,10,0.2,10,12,2.9,0,0.8,2949,8.14E-05,0,0.00024425,0.12004885,0.000325667,663.9189189,125.9974761,245.65,0,0.135135135,0,0,0,20001272
43,932132,43,71702.46154,0,1258,344869167,6176,247,95,121,191,13,96.76923077,13,4493.846154,475.0769231,0,19,0,0.001349594,0.000101917,0.00012981,0,0.000264984,21677.48837,369.9788946,5515.573965,1,4.441860465,29.25581395,932132,1,20001278
64,247960,0,17711.42857,0,472,294469136,2704,447,195,99,199,14,33.71428571,14,5259.571429,193.1428571,0.071428571,31.92857143,2314,0.001903533,0.000786417,0.000399258,0.00933215,0.00180271,3874.375,1187.567091,1265.102041,0,3.109375,0,6701.621622,0,20001292
8,51566,27,17188.66667,0,60,5167184,118,59,5,13,17,3,20,3,350.6666667,39.33333333,0,19.66666667,14151,0.001163557,9.70E-05,0.000252104,0.274425009,0.001144165,6445.75,100.2052515,5729.555557,3.375,2.125,2.222222222,2578.3,0,20001300
1,11937,33,11937,0,11,4626531,86,13,1,5,5,1,11,1,1574,86,0,13,0,0.000921505,8.38E-05,0.000418866,0,0.001089051,11937,387.57904,11937,33,5,0.333333333,11937,0,20001316
132,321350,4,21423.33333,321,118,297457296,3182,613,378,71,260,15,7.866666667,15,9467.866667,212.1333333,0,40.86666667,39782,0.000367201,0.001176288,0.000220943,0.123796484,0.001907577,2434.469697,925.6489684,1428.222222,0.03030303,1.96969697,29.5,1868.313953,0,20001320
125,326989,30,23356.35714,0,115,89281914,5362,348,9,19,25,14,8.214285714,14,11368.78571,383,0,24.85714286,8040,0.000351694,2.75E-05,5.81E-05,0.024587983,0.001064256,2615.912,273.0425611,1668.311224,0.24,0.2,3.833333333,976.0865672,0,20001343
24,185008,26,18500.8,0,638,17529028,752,125,5,36,43,10,63.8,10,365.4,75.2,0,12.5,9945,0.0034485,2.70E-05,0.000194586,0.053754432,0.000675646,7708.666667,94.74740552,1850.08,1.083333333,1.791666667,24.53846154,864.5233645,0,20001359
