actor_account,sit_count,exp_get_amout,item_get_count,exp_repair_count,money_get_count,abyss,use_portal_count,killed_by_pc,killed_by_npc,teleport_count,reborn_count,question_count,login_total_day,sit_count_perday,item_get_count_perday,exp_repair_count_perday,money_get_count_perday,use_portal_count_perday,teleport_count_perday
20000482,1067,500725994,46254,0,4132,101,1,257,139,601,245,520,14,76.21428571,3303.857143,0,295.1428571,0.071428571,42.92857143
20000491,32,129738309,6106,0,754,0,0,4,13,82,11,17,5,6.4,1221.2,0,150.8,0,16.4
20000508,4,12192578,81,0,152,0,0,0,2,14,2,2,4,1,20.25,0,38,0,3.5
20000510,2,2097429,84,0,30,0,0,3,1,9,3,3,1,2,84,0,30,0,9
20000512,547,92015865,57721,0,68,0,0,84,37,159,104,395,12,45.58333333,4810.083333,0,5.666666667,0,13.25
20000513,59,26836586,10662,0,238,0,0,8,18,208,23,234,14,4.214285714,761.5714286,0,17,0,14.85714286
20000518,416,228964244,115785,0,2268,0,0,127,55,386,121,56,11,37.81818182,10525.90909,0,206.1818182,0,35.09090909
20000529,1987,99131496,9961,0,576,0,0,36,195,330,195,48,11,180.6363636,905.5454545,0,52.36363636,0,30
20000544,36,6198560,7623,0,95,0,0,3,4,38,9,21,6,6,1270.5,0,15.83333333,0,6.333333333
20000552,293,548989167,92854,0,4586,0,0,10,135,413,105,111,15,19.53333333,6190.266667,0,305.7333333,0,27.53333333
20000558,421,312090317,137247,0,3012,356,3,163,104,578,165,71,15,28.06666667,9149.8,0,200.8,0.2,38.53333333
20000559,71,9524543,550,0,51,0,0,16,15,52,23,2,4,17.75,137.5,0,12.75,0,13
20000560,1,150543,3,0,0,0,0,0,0,1,1,0,1,1,3,0,0,0,1
20000581,154,89247279,51001,0,1472,0,0,38,42,272,53,81,13,11.84615385,3923.153846,0,113.2307692,0,20.92307692
20000584,31,860846,1253,0,240,0,0,0,0,19,0,59,2,15.5,626.5,0,120,0,9.5
20000585,145,128489188,54729,0,1043,0,0,9,37,159,37,89,11,13.18181818,4975.363636,0,94.81818182,0,14.45454545
20000601,241,272978709,23071,0,2174,0,1,36,35,314,49,154,11,21.90909091,2097.363636,0,197.6363636,0.090909091,28.54545455
20000633,19,7880556,31,0,33,0,0,15,7,27,14,2,2,9.5,15.5,0,16.5,0,13.5
20000641,1333,989112822,84343,0,6692,0,0,0,78,141,63,1,13,102.5384615,6487.923077,0,514.7692308,0,10.84615385
20000646,40,1264759,1011,0,303,0,0,0,6,34,7,79,8,5,126.375,0,37.875,0,4.25
20000649,103,449877087,1142,0,8300,0,0,6,203,144,181,0,6,17.16666667,190.3333333,0,1383.333333,0,24
20000650,17,28195828,118304,0,212,0,4,12,6,58,20,898,10,1.7,11830.4,0,21.2,0.4,5.8
20000657,103,13367582,13079,0,936,0,0,15,17,72,27,75,9,11.44444444,1453.222222,0,104,0,8
20000689,482,67373238,699,0,628,0,16,119,165,424,235,70,15,32.13333333,46.6,0,41.86666667,1.066666667,28.26666667
20000690,92,22556834,2422,0,1002,0,0,7,48,134,43,58,10,9.2,242.2,0,100.2,0,13.4
20000692,8,8913412,107,0,38,0,0,1,3,15,4,0,5,1.6,21.4,0,7.6,0,3
20000705,66,68274662,6929,0,393,0,1,29,41,241,53,41,9,7.333333333,769.8888889,0,43.66666667,0.111111111,26.77777778
20000706,227,8703857,5321,0,799,0,0,0,22,72,21,119,3,75.66666667,1773.666667,0,266.3333333,0,24
20000707,4,1570534,1790,0,112,0,0,0,10,28,8,15,3,1.333333333,596.6666667,0,37.33333333,0,9.333333333
20000719,493,576437222,305319,0,5406,0,0,255,115,828,233,653,15,32.86666667,20354.6,0,360.4,0,55.2
20000726,16,59477271,32800,0,537,0,0,11,9,35,13,6,3,5.333333333,10933.33333,0,179,0,11.66666667
20000727,21,51161990,3386,0,496,0,0,11,1,33,4,5,6,3.5,564.3333333,0,82.66666667,0,5.5
20000731,345,394518044,7173,0,4678,0,0,152,32,377,111,382,14,24.64285714,512.3571429,0,334.1428571,0,26.92857143
20000741,528,118055081,14941,0,774,0,5,36,109,405,98,92,14,37.71428571,1067.214286,0,55.28571429,0.357142857,28.92857143
20000744,9,14301740,240,0,34,0,0,16,1,26,15,8,5,1.8,48,0,6.8,0,5.2
20000749,1,18685,67,0,40,0,0,0,0,2,0,11,1,1,67,0,40,0,2
20000751,104,21637752,11388,0,54,0,6,14,12,82,21,7,13,8,876,0,4.153846154,0.461538462,6.307692308
20000761,132,23809250,2963,0,353,0,0,7,4,207,105,176,12,11,246.9166667,0,29.41666667,0,17.25
20000765,1646,193687663,99854,0,916,0,0,115,263,412,263,553,13,126.6153846,7681.076923,0,70.46153846,0,31.69230769
20000766,214,10064894,2630,0,292,0,0,0,8,35,7,21,7,30.57142857,375.7142857,0,41.71428571,0,5
20000799,164,165578340,25642,0,699,0,0,33,10,122,31,72,7,23.42857143,3663.142857,0,99.85714286,0,17.42857143
20000814,8,23533252,2454,0,114,0,0,0,0,9,0,57,4,2,613.5,0,28.5,0,2.25
20000816,165,1643099,2165,0,531,0,0,0,63,133,61,184,6,27.5,360.8333333,0,88.5,0,22.16666667
20000817,113,289029408,3564,0,3633,352,1,130,67,419,129,338,15,7.533333333,237.6,0,242.2,0.066666667,27.93333333
20000827,189,323835423,22284,0,2527,286,0,52,56,285,65,448,15,12.6,1485.6,0,168.4666667,0,19
20000833,493,342245294,13193,0,3250,0,1,95,142,494,134,58,14,35.21428571,942.3571429,0,232.1428571,0.071428571,35.28571429
20000837,128,232558782,3527,0,752,0,0,3,78,214,41,272,10,12.8,352.7,0,75.2,0,21.4
20000839,9,4415672,45,0,43,0,0,2,3,8,2,3,1,9,45,0,43,0,8
20000841,136,107199230,75384,0,1496,219,1,154,15,211,97,15,12,11.33333333,6282,0,124.6666667,0.083333333,17.58333333
20000843,59,82842,183,0,91,0,0,0,12,12,11,17,2,29.5,91.5,0,45.5,0,6
20000850,226,629298750,159593,0,5766,0,0,40,226,513,129,1475,15,15.06666667,10639.53333,0,384.4,0,34.2
20000860,993,499627712,175358,0,5758,0,6,413,82,787,311,490,15,66.2,11690.53333,0,383.8666667,0.4,52.46666667
20000865,237,250288650,122338,0,3006,227,1,122,38,407,96,246,15,15.8,8155.866667,0,200.4,0.066666667,27.13333333
20000868,7,1263306060,78469,0,32,0,0,0,10,42,8,0,15,0.466666667,5231.266667,0,2.133333333,0,2.8
20000871,47,1585982,121,0,75,0,0,0,0,9,0,2,3,15.66666667,40.33333333,0,25,0,3
20000874,19,7415247,9,0,11,0,1,0,13,5,6,0,1,19,9,0,11,1,5
20000880,28,6948618,476,0,150,0,0,2,10,35,11,14,4,7,119,0,37.5,0,8.75
20000892,440,550336657,183735,0,6323,0,2,157,85,956,200,400,15,29.33333333,12249,0,421.5333333,0.133333333,63.73333333
20000909,219,620914286,57211,0,5774,0,0,102,127,597,128,633,15,14.6,3814.066667,0,384.9333333,0,39.8
20000922,27,104882524,4317,0,548,0,0,3,28,75,23,31,9,3,479.6666667,0,60.88888889,0,8.333333333
20000934,48,73226279,18734,0,2150,0,0,5,15,168,20,157,14,3.428571429,1338.142857,0,153.5714286,0,12
20000945,25,22260930,304,0,171,0,0,2,4,12,6,9,3,8.333333333,101.3333333,0,57,0,4
20000946,4,5170942,82,0,102,0,0,3,3,11,4,1,2,2,41,0,51,0,5.5
20000949,174,120627978,33296,0,1026,0,2,26,13,112,32,42,12,14.5,2774.666667,0,85.5,0.166666667,9.333333333
20000954,12,11875613,666,0,153,0,0,0,0,14,0,1,2,6,333,0,76.5,0,7
20000959,274,543124970,133618,0,9156,0,0,80,38,771,174,621,15,18.26666667,8907.866667,0,610.4,0,51.4
20000960,37,159568767,70916,0,1508,0,0,10,31,110,30,15,8,4.625,8864.5,0,188.5,0,13.75
20000968,31,21136666,17865,0,326,0,0,4,6,192,6,13,15,2.066666667,1191,0,21.73333333,0,12.8
20000971,275,608079660,322937,0,6496,377,2,146,74,792,135,668,15,18.33333333,21529.13333,0,433.0666667,0.133333333,52.8
20000974,311,387753995,7538,0,5103,0,3,91,15,349,67,301,15,20.73333333,502.5333333,0,340.2,0.2,23.26666667
20000983,603,533901020,15019,0,3570,0,1,248,123,640,262,360,15,40.2,1001.266667,0,238,0.066666667,42.66666667
20000988,394,319814839,123727,0,1070,0,0,0,55,380,39,516,10,39.4,12372.7,0,107,0,38
20000994,217,207208972,24970,0,2158,0,1,21,12,236,29,288,15,14.46666667,1664.666667,0,143.8666667,0.066666667,15.73333333
20000998,28,25882005,1916,0,154,0,0,9,3,39,9,1,2,14,958,0,77,0,19.5
20001012,480,519662056,152327,0,6182,0,0,260,58,601,168,950,15,32,10155.13333,0,412.1333333,0,40.06666667
20001013,7,3581695,100,0,9,0,0,0,3,17,2,0,2,3.5,50,0,4.5,0,8.5
20001025,49,158365313,123546,0,2078,0,0,35,22,416,53,568,15,3.266666667,8236.4,0,138.5333333,0,27.73333333
20001026,428,818986357,310870,0,8345,302,1,169,124,941,189,201,14,30.57142857,22205,0,596.0714286,0.071428571,67.21428571
20001032,267,665046859,5902,0,5347,0,2,114,126,645,176,169,15,17.8,393.4666667,0,356.4666667,0.133333333,43
20001033,46,6118788,845,0,213,0,0,1,17,34,17,12,2,23,422.5,0,106.5,0,17
20001035,493,76430596,4136,0,560,0,1,40,58,239,84,114,15,32.86666667,275.7333333,0,37.33333333,0.066666667,15.93333333
20001042,16,1158274687,110133,0,30,0,0,0,8,36,5,1276,15,1.066666667,7342.2,0,2,0,2.4
20001050,948,786027129,95048,0,6090,0,2,142,223,833,256,606,15,63.2,6336.533333,0,406,0.133333333,55.53333333
20001052,11,84731,174,0,41,0,0,0,5,10,5,20,2,5.5,87,0,20.5,0,5
20001054,2,448631,120,0,28,0,0,0,2,8,2,0,2,1,60,0,14,0,4
20001056,17,29936857,10358,0,387,0,0,4,16,40,10,5,5,3.4,2071.6,0,77.4,0,8
20001057,2,253382,0,0,1,0,0,1,1,5,2,0,1,2,0,0,1,0,5
20001066,358,274606260,2030,0,2914,0,0,161,43,442,134,154,14,25.57142857,145,0,208.1428571,0,31.57142857
20001088,27,60930913,30766,0,570,0,0,4,16,59,17,32,2,13.5,15383,0,285,0,29.5
20001098,1040,127866393,8051,0,13,0,0,24,4,36,22,0,4,260,2012.75,0,3.25,0,9
20001110,11,21039,54,0,21,0,0,0,5,7,5,9,1,11,54,0,21,0,7
20001111,43,61395315,50777,0,1106,0,0,17,8,145,20,140,7,6.142857143,7253.857143,0,158,0,20.71428571
20001112,438,363402823,102705,0,3362,0,1,140,94,450,146,352,14,31.28571429,7336.071429,0,240.1428571,0.071428571,32.14285714
20001113,477,601663593,29649,0,5420,0,3,5,31,387,35,128,15,31.8,1976.6,0,361.3333333,0.2,25.8
20001116,41,1485270,844,0,52,0,0,0,3,21,6,10,3,13.66666667,281.3333333,0,17.33333333,0,7
20001127,47,43729047,54394,0,731,0,0,28,4,60,26,1,6,7.833333333,9065.666667,0,121.8333333,0,10
20001129,66,31176323,122671,0,454,0,0,0,5,56,5,583,11,6,11151.90909,0,41.27272727,0,5.090909091
20001132,18,1690528,4837,0,529,0,0,0,16,60,14,79,5,3.6,967.4,0,105.8,0,12
20001135,207,458985013,27278,0,5087,0,0,172,146,589,198,376,15,13.8,1818.533333,0,339.1333333,0,39.26666667
20001144,356,27535616,2088,0,663,0,10,280,77,596,353,122,11,32.36363636,189.8181818,0,60.27272727,0.909090909,54.18181818
20001167,3616,1990668686,91916,0,31415,0,0,21,61,166,73,645,14,258.2857143,6565.428571,0,2243.928571,0,11.85714286
20001170,6,124461,52,0,1,0,0,0,0,2,0,0,1,6,52,0,1,0,2
20001175,205,343924297,40685,0,3824,0,1,49,10,324,26,170,13,15.76923077,3129.615385,0,294.1538462,0.076923077,24.92307692
20001194,386,76506842,125037,0,1378,0,0,16,39,224,47,190,14,27.57142857,8931.214286,0,98.42857143,0,16
20001201,123,196924050,158074,0,1273,0,4,29,27,377,36,223,15,8.2,10538.26667,0,84.86666667,0.266666667,25.13333333
20001208,43,43828477,1145,0,208,0,0,4,14,60,11,14,6,7.166666667,190.8333333,0,34.66666667,0,10
20001222,2497,286396885,59510,0,1430,0,0,84,52,387,318,3,13,192.0769231,4577.692308,0,110,0,29.76923077
20001225,2694,502139328,75486,0,2791,0,0,122,199,342,293,2570,13,207.2307692,5806.615385,0,214.6923077,0,26.30769231
20001229,12,74158,197,0,50,0,0,0,5,6,4,24,1,12,197,0,50,0,6
20001231,139,166350986,41372,0,1580,0,0,60,24,183,57,15,10,13.9,4137.2,0,158,0,18.3
20001232,9,407845,168,0,174,0,0,0,2,11,2,1,3,3,56,0,58,0,3.666666667
20001239,1833,73633218,39415,0,2085,0,0,34,46,116,69,11,6,305.5,6569.166667,0,347.5,0,19.33333333
20001241,2,276232,4,0,1,0,0,0,1,2,1,0,2,1,2,0,0.5,0,1
20001242,1,23559,119,0,46,0,0,0,0,0,0,20,1,1,119,0,46,0,0
20001251,148,457261765,82708,0,4651,0,2,53,87,501,99,506,14,10.57142857,5907.714286,0,332.2142857,0.142857143,35.78571429
20001253,109,335353843,26865,0,3935,51,1,258,145,526,190,815,14,7.785714286,1918.928571,0,281.0714286,0.071428571,37.57142857
20001256,281,118934197,72967,0,1833,0,2,91,52,331,85,440,8,35.125,9120.875,0,229.125,0.25,41.375
20001264,122,285951757,163016,0,2826,0,10,42,39,355,66,250,15,8.133333333,10867.73333,0,188.4,0.666666667,23.66666667
20001272,2,3095128,120,0,29,0,0,0,6,8,5,0,10,0.2,12,0,2.9,0,0.8
20001276,495,61034616,4439,0,1450,0,0,15,58,260,56,161,14,35.35714286,317.0714286,0,103.5714286,0,18.57142857
20001278,1258,344869167,58420,0,6176,0,0,95,121,247,191,1,13,96.76923077,4493.846154,0,475.0769231,0,19
20001279,44,36996858,38749,0,461,0,0,5,2,100,12,3,10,4.4,3874.9,0,46.1,0,10
20001280,1,272829,66,0,93,0,0,0,6,16,5,8,1,1,66,0,93,0,16
20001292,472,294469136,73634,0,2704,0,1,195,99,447,199,37,14,33.71428571,5259.571429,0,193.1428571,0.071428571,31.92857143
20001293,12,6777860,83,0,63,0,1,0,7,17,5,1,4,3,20.75,0,15.75,0.25,4.25
20001300,60,5167184,1052,0,118,0,0,5,13,59,17,20,3,20,350.6666667,0,39.33333333,0,19.66666667
20001316,11,4626531,1574,0,86,0,0,1,5,13,5,1,1,11,1574,0,86,0,13
20001320,118,297457296,142018,0,3182,321,0,378,71,613,260,172,15,7.866666667,9467.866667,0,212.1333333,0,40.86666667
20001322,110,319553232,164303,0,3271,190,0,12,49,236,38,372,14,7.857142857,11735.92857,0,233.6428571,0,16.85714286
20001335,10,4206899,1440,0,148,0,0,6,6,28,8,99,2,5,720,0,74,0,14
20001343,115,89281914,159163,0,5362,0,0,9,19,348,25,335,14,8.214285714,11368.78571,0,383,0,24.85714286
20001354,387,405283533,19123,0,4446,0,0,126,77,523,122,168,15,25.8,1274.866667,0,296.4,0,34.86666667
20001359,638,17529028,3654,0,752,0,0,5,36,125,43,214,10,63.8,365.4,0,75.2,0,12.5
20001361,68,159101832,53893,0,1930,0,0,81,53,222,71,26,14,4.857142857,3849.5,0,137.8571429,0,15.85714286
20001379,987,38044079,14557,0,1583,0,0,19,32,72,43,8,3,329,4852.333333,0,527.6666667,0,24
20001383,44,139620021,70626,0,1990,0,0,8,4,105,6,34,11,4,6420.545455,0,180.9090909,0,9.545454545
20001387,206,647899537,68666,0,6516,367,5,283,179,1022,280,641,15,13.73333333,4577.733333,0,434.4,0.333333333,68.13333333
20001389,663,1451213187,83177,0,45049,0,0,0,162,168,149,0,14,47.35714286,5941.214286,0,3217.785714,0,12
20001390,88,5585264,2055,0,513,0,0,0,14,66,13,124,3,29.33333333,685,0,171,0,22
20001392,1,61772,13,0,0,0,0,0,0,0,0,0,3,0.333333333,4.333333333,0,0,0,0
20001393,245,227809620,63646,0,2427,56,0,6,46,202,29,344,13,18.84615385,4895.846154,0,186.6923077,0,15.53846154
20001405,10013,1288249838,48809,0,22485,0,0,0,73,97,64,1908,14,715.2142857,3486.357143,0,1606.071429,0,6.928571429
20001412,49,323728,0,0,0,0,0,0,13,60,4,0,12,4.083333333,0,0,0,0,5
20001421,205,64535368,32177,0,6407,0,0,0,1,286,196,249,4,51.25,8044.25,0,1601.75,0,71.5
20001442,33,142816,24,0,44,0,0,0,9,7,7,0,1,33,24,0,44,0,7
20001444,1320,462906027,230706,0,4742,0,2,249,82,566,189,315,15,88,15380.4,0,316.1333333,0.133333333,37.73333333
20001458,79,343755638,155651,0,3672,0,1,116,65,386,119,177,14,5.642857143,11117.92857,0,262.2857143,0.071428571,27.57142857
20001460,6493,1382620851,67573,0,11970,0,0,0,112,150,100,8,15,432.8666667,4504.866667,0,798,0,10
20001461,41,86787623,1263,0,1025,0,0,2,46,59,31,15,6,6.833333333,210.5,0,170.8333333,0,9.833333333
20001468,45,808551,21020,0,2,0,8,14,10,64,21,1,3,15,7006.666667,0,0.666666667,2.666666667,21.33333333
20001472,81,93240744,546,0,548,0,2,36,23,141,32,10,10,8.1,54.6,0,54.8,0.2,14.1
20001475,51,298333,144,0,67,0,0,0,6,9,6,6,2,25.5,72,0,33.5,0,4.5
20001477,202,378465973,12640,0,4680,0,0,12,99,298,112,220,15,13.46666667,842.6666667,0,312,0,19.86666667
20001480,272,37467344,3145,0,720,0,0,11,44,169,46,93,11,24.72727273,285.9090909,0,65.45454545,0,15.36363636
20001496,170,169898174,2437,0,1635,0,0,16,25,158,29,18,8,21.25,304.625,0,204.375,0,19.75
20001498,126,73508480,1225,0,700,0,0,63,19,186,53,95,4,31.5,306.25,0,175,0,46.5
20001508,19,229004,118,0,96,0,0,0,1,13,1,18,4,4.75,29.5,0,24,0,3.25
