actor_account,trade_go,trade_come,sell_to_shop,sell_to_person,mail_go,mail_come,invite,join,fight,friend_num,friend_num_change_count,login_total_day,trade_go_perday,buy_from_shop_perday,sell_to_shop_perday,mail_come_perday,invite_perday,join_perday,fight_perday
20000454,0,2,23,0,0,48,0,17,0,9,1,9,0,0,2.555555556,5.333333333,0,1.888888889,0
20000456,31,17,97,0,11,5,78,30,6,20,4,11,2.818181818,1.272727273,8.818181818,0.454545455,7.090909091,2.727272727,0.545454545
20000457,18,8,905,0,30,26,104,77,1,67,10,14,1.285714286,12.42857143,64.64285714,1.857142857,7.428571429,5.5,0.071428571
20000491,1,3,68,0,1,4,15,7,0,100,6,5,0.2,0.8,13.6,0.8,3,1.4,0
20000508,4,0,19,0,0,0,4,2,1,97,1,4,1,0,4.75,0,1,0.5,0.25
20000512,0,0,449,0,0,5,1,3,0,0,0,12,0,6.416666667,37.41666667,0.416666667,0.083333333,0.25,0
20000518,33,9,114,0,24,50,65,47,24,95,6,11,3,4.363636364,10.36363636,4.545454545,5.909090909,4.272727273,2.181818182
20000552,12,7,361,0,7,8,232,48,0,57,6,15,0.8,3.466666667,24.06666667,0.533333333,15.46666667,3.2,0
20000558,100,90,228,0,45,70,174,82,58,63,12,15,6.666666667,3.333333333,15.2,4.666666667,11.6,5.466666667,3.866666667
20000581,1,0,141,0,0,13,14,28,0,5,1,13,0.076923077,3,10.84615385,1,1.076923077,2.153846154,0
20000584,12,14,68,0,0,0,0,4,1,0,0,2,6,13,34,0,0,2,0.5
20000601,19,11,201,0,1,1,11,73,15,70,12,11,1.727272727,4.909090909,18.27272727,0.090909091,1,6.636363636,1.363636364
20000641,1,0,194,0,1,0,0,0,0,0,0,13,0.076923077,0.615384615,14.92307692,0,0,0,0
20000644,235,392,4,0,0,22,0,0,0,0,0,14,16.78571429,1,0.285714286,1.571428571,0,0,0
20000646,1,14,89,0,0,3,6,1,1,4,4,8,0.125,2.875,11.125,0.375,0.75,0.125,0.125
20000650,25,102,166,1,8,14,15,75,0,0,0,10,2.5,180.7,16.6,1.4,1.5,7.5,0
20000657,8,10,242,0,2,1,7,7,0,1,1,9,0.888888889,5.666666667,26.88888889,0.111111111,0.777777778,0.777777778,0
20000689,9,9,31,0,0,4,63,45,18,18,3,15,0.6,1.733333333,2.066666667,0.266666667,4.2,3,1.2
20000705,25,4,153,0,18,64,50,17,1,15,1,9,2.777777778,4.777777778,17,7.111111111,5.555555556,1.888888889,0.111111111
20000706,6,6,211,0,0,0,4,15,1,10,10,3,2,12,70.33333333,0,1.333333333,5,0.333333333
20000719,3,2,415,0,2,3,12,36,2,4,1,15,0.2,6.4,27.66666667,0.2,0.8,2.4,0.133333333
20000726,0,1,32,1,0,0,7,4,0,0,0,3,0,2.666666667,10.66666667,0,2.333333333,1.333333333,0
20000731,3,7,204,0,1,12,5,44,0,62,4,14,0.214285714,5.357142857,14.57142857,0.857142857,0.357142857,3.142857143,0
20000741,1,8,324,0,0,17,78,82,18,12,8,14,0.071428571,2.642857143,23.14285714,1.214285714,5.571428571,5.857142857,1.285714286
20000744,0,0,12,0,0,1,0,2,0,0,0,5,0,1,2.4,0.2,0,0.4,0
20000751,1,0,104,0,15,23,2,11,2,1,1,13,0.076923077,1.384615385,8,1.769230769,0.153846154,0.846153846,0.153846154
20000761,0,0,107,0,1,2,0,2,0,0,0,12,0,3.25,8.916666667,0.166666667,0,0.166666667,0
20000766,0,1,133,0,0,2,3,4,0,0,0,7,0,1.857142857,19,0.285714286,0.428571429,0.571428571,0
20000776,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20000799,4,2,102,0,2,8,7,12,1,0,0,7,0.571428571,1.857142857,14.57142857,1.142857143,1,1.714285714,0.142857143
20000814,0,0,56,0,8,20,0,0,0,0,0,4,0,1,14,5,0,0,0
20000816,6,5,221,0,0,0,0,3,0,1,1,6,1,8.5,36.83333333,0,0,0.5,0
20000843,0,9,0,0,0,1,0,1,0,2,2,2,0,0,0,0.5,0,0.5,0
20000868,24,26,298,0,0,1,0,0,0,0,0,15,1.6,0.333333333,19.86666667,0.066666667,0,0,0
20000871,2,1,6,0,0,0,1,1,0,0,0,3,0.666666667,0,2,0,0.333333333,0.333333333,0
20000880,2,3,67,0,0,0,0,3,4,0,0,4,0.5,2.75,16.75,0,0,0.75,1
20000959,13,17,527,0,6,95,59,97,5,0,0,15,0.866666667,12.46666667,35.13333333,6.333333333,3.933333333,6.466666667,0.333333333
20000960,5,15,111,0,2,2,36,24,4,0,0,8,0.625,2.375,13.875,0.25,4.5,3,0.5
20000971,45,16,637,9,13,18,42,104,17,32,6,15,3,6.733333333,42.46666667,1.2,2.8,6.933333333,1.133333333
20000974,8,12,315,0,11,24,3,51,1,33,2,15,0.533333333,2.533333333,21,1.6,0.2,3.4,0.066666667
20000988,3,26,373,0,3,4,1,29,1,1,1,10,0.3,21.4,37.3,0.4,0.1,2.9,0.1
20000998,0,5,47,0,1,6,3,2,1,12,1,2,0,1.5,23.5,3,1.5,1,0.5
20001025,63,18,196,0,357,436,43,27,0,21,3,15,4.2,6,13.06666667,29.06666667,2.866666667,1.8,0
20001026,122,85,328,1,103,138,79,127,26,91,7,14,8.714285714,5.928571429,23.42857143,9.857142857,5.642857143,9.071428571,1.857142857
20001033,0,1,34,0,0,2,0,4,0,0,0,2,0,3.5,17,1,0,2,0
20001088,0,0,61,0,2,1,2,6,0,4,2,2,0,4,30.5,0.5,1,3,0
20001111,11,57,168,0,2,10,2,12,0,0,0,7,1.571428571,17,24,1.428571429,0.285714286,1.714285714,0
20001112,20,26,217,21,0,14,151,35,19,66,5,14,1.428571429,3.714285714,15.5,1,10.78571429,2.5,1.357142857
20001113,648,104,158,0,1,5,97,75,1,4,1,15,43.2,2.8,10.53333333,0.333333333,6.466666667,5,0.066666667
20001116,0,0,69,0,0,0,0,2,0,0,0,3,0,0,23,0,0,0.666666667,0
20001126,147,551,51,0,0,0,0,0,0,0,0,15,9.8,0.066666667,3.4,0,0,0,0
20001127,2,0,88,0,0,0,4,3,1,15,4,6,0.333333333,1.833333333,14.66666667,0,0.666666667,0.5,0.166666667
20001167,125,10,639,0,2,3,0,0,0,0,0,14,8.928571429,3.357142857,45.64285714,0.214285714,0,0,0
20001175,22,3,184,0,0,14,4,46,0,21,2,13,1.692307692,6.230769231,14.15384615,1.076923077,0.307692308,3.538461538,0
20001194,31,45,258,0,14,43,32,63,6,7,4,14,2.214285714,9.071428571,18.42857143,3.071428571,2.285714286,4.5,0.428571429
20001201,144,91,248,0,12,18,56,76,3,0,0,15,9.6,7,16.53333333,1.2,3.733333333,5.066666667,0.2
20001208,5,0,37,0,1,4,15,8,0,6,1,6,0.833333333,0.5,6.166666667,0.666666667,2.5,1.333333333,0
20001222,271,108,913,0,6,1,0,0,0,0,0,13,20.84615385,6.076923077,70.23076923,0.076923077,0,0,0
20001231,10,5,144,0,4,2,13,25,6,45,5,10,1,1.3,14.4,0.2,1.3,2.5,0.6
20001239,22,22,504,0,10,5,0,0,0,0,0,6,3.666666667,11.5,84,0.833333333,0,0,0
20001256,8,2,336,0,14,25,63,20,0,3,3,8,1,12.125,42,3.125,7.875,2.5,0
20001264,19,34,256,0,0,28,3,61,4,13,3,15,1.266666667,10.13333333,17.06666667,1.866666667,0.2,4.066666667,0.266666667
20001272,0,0,10,0,0,13,0,4,0,32,2,10,0,0.1,1,1.3,0,0.4,0
20001278,213,4,275,0,68,13,0,0,0,0,0,13,16.38461538,1.769230769,21.15384615,1,0,0,0
20001292,33,18,228,0,1,7,49,54,21,43,6,14,2.357142857,4.428571429,16.28571429,0.5,3.5,3.857142857,1.5
20001300,2,13,79,0,0,1,3,11,0,0,0,3,0.666666667,1.333333333,26.33333333,0.333333333,1,3.666666667,0
20001316,1,2,8,0,0,1,0,2,0,0,0,1,1,0,8,1,0,2,0
20001320,4,3,143,0,0,1,9,69,8,0,0,15,0.266666667,2.2,9.533333333,0.066666667,0.6,4.6,0.533333333
20001343,94,44,796,0,16,28,69,24,8,6,7,14,6.714285714,11.07142857,56.85714286,2,4.928571429,1.714285714,0.571428571
20001359,6,3,272,0,0,1,3,4,0,1,2,10,0.6,2.6,27.2,0.1,0.3,0.4,0
20001361,2,5,104,0,2,6,6,38,0,100,4,14,0.142857143,1.785714286,7.428571429,0.428571429,0.428571429,2.714285714,0
20001380,6,8,0,0,0,11,0,0,0,0,0,4,1.5,3.5,0,2.75,0,0,0
20001383,6,10,122,0,1,8,21,20,0,32,4,11,0.545454545,7.727272727,11.09090909,0.727272727,1.909090909,1.818181818,0
20001387,44,69,474,0,27,68,245,159,27,57,4,15,2.933333333,8,31.6,4.533333333,16.33333333,10.6,1.8
20001390,0,4,147,0,0,0,0,3,0,1,1,3,0,8.333333333,49,0,0,1,0
20001393,14,26,253,0,3,12,13,43,0,84,6,13,1.076923077,14.76923077,19.46153846,0.923076923,1,3.307692308,0
20001405,1,0,385,0,0,0,0,0,0,0,0,14,0.071428571,0.071428571,27.5,0,0,0,0
20001421,37,0,1575,0,0,0,0,0,0,0,0,4,9.25,8.75,393.75,0,0,0,0
20001444,42,50,211,4,6,6,178,50,119,27,26,15,2.8,5.466666667,14.06666667,0.4,11.86666667,3.333333333,7.933333333
20001461,3,12,22,0,0,12,1,12,1,8,3,6,0.5,3.833333333,3.666666667,2,0.166666667,2,0.166666667
20001468,1,1,0,0,0,2,0,2,0,0,0,3,0.333333333,4.666666667,0,0.666666667,0,0.666666667,0
20001496,17,13,141,0,1,1,20,24,7,67,2,8,2.125,1.625,17.625,0.125,2.5,3,0.875
20001498,0,2,50,0,6,3,1,9,0,37,1,4,0,4.75,12.5,0.75,0.25,2.25,0
20001531,103,105,483,0,47,35,141,135,13,17,7,14,7.357142857,10.57142857,34.5,2.5,10.07142857,9.642857143,0.928571429
20001554,27,42,445,0,1,22,456,22,14,100,12,13,2.076923077,3.769230769,34.23076923,1.692307692,35.07692308,1.692307692,1.076923077
20001562,10,18,311,0,1,7,147,70,18,74,5,15,0.666666667,4.733333333,20.73333333,0.466666667,9.8,4.666666667,1.2
20001568,4,2,147,0,0,9,0,5,0,4,2,7,0.571428571,2.571428571,21,1.285714286,0,0.714285714,0
20001570,0,0,44,0,30,6,0,0,0,0,0,6,0,0,7.333333333,1,0,0,0
20001573,0,0,4,0,0,0,0,3,3,0,0,2,0,0,2,0,0,1.5,1.5
20001597,26,59,94,0,3,3,81,32,0,91,14,14,1.857142857,5.5,6.714285714,0.214285714,5.785714286,2.285714286,0
20001605,8,13,275,0,7,36,5,36,1,14,4,13,0.615384615,6.230769231,21.15384615,2.769230769,0.384615385,2.769230769,0.076923077
20001643,2,8,234,0,1,4,93,23,13,14,3,13,0.153846154,4.230769231,18,0.307692308,7.153846154,1.769230769,1
20001653,5,7,42,0,0,0,1,3,0,0,0,4,1.25,3.25,10.5,0,0.25,0.75,0
20001660,2,1,116,0,0,0,10,17,3,0,0,7,0.285714286,1.285714286,16.57142857,0,1.428571429,2.428571429,0.428571429
20001677,9,8,198,0,3,19,21,38,2,18,7,11,0.818181818,5.545454545,18,1.727272727,1.909090909,3.454545455,0.181818182
20001745,0,0,488,0,0,0,0,0,0,0,0,13,0,2.769230769,37.53846154,0,0,0,0
20001765,30,138,337,0,2,3,42,64,2,76,3,15,2,5.066666667,22.46666667,0.2,2.8,4.266666667,0.133333333
20001780,0,12,250,0,0,1,8,14,1,5,5,8,0,5.875,31.25,0.125,1,1.75,0.125
20001792,0,1,6,0,0,0,0,2,0,0,0,2,0,0,3,0,0,1,0
20001808,13,4,97,0,0,0,48,2,0,0,0,3,4.333333333,8,32.33333333,0,16,0.666666667,0
20001815,58,22,82,0,16,0,0,0,0,0,0,8,7.25,3.375,10.25,0,0,0,0
20001816,15,17,50,0,1,4,6,20,0,0,0,11,1.363636364,1.090909091,4.545454545,0.363636364,0.545454545,1.818181818,0
20001820,273,8,522,0,6,20,1,0,0,0,0,10,27.3,12.2,52.2,2,0.1,0,0
20001842,1,0,47,0,0,0,3,1,0,2,1,4,0.25,0.5,11.75,0,0.75,0.25,0
20001847,3,4,187,0,5,3,175,38,6,42,6,10,0.3,2.1,18.7,0.3,17.5,3.8,0.6
20001865,0,0,259,0,2,0,0,0,0,0,0,15,0,1.8,17.26666667,0,0,0,0
20001871,6,3,340,0,7,38,10,66,0,8,2,15,0.4,4,22.66666667,2.533333333,0.666666667,4.4,0
20001885,1,0,17,0,0,22,0,0,0,0,0,5,0.2,1.6,3.4,4.4,0,0,0
20001888,6,2,67,0,0,1,17,27,0,41,1,13,0.461538462,1.153846154,5.153846154,0.076923077,1.307692308,2.076923077,0
20001890,1,0,26,0,0,2,1,8,0,0,0,5,0.2,0.2,5.2,0.4,0.2,1.6,0
20001915,47,46,86,0,8,9,65,8,2,37,2,14,3.357142857,4.071428571,6.142857143,0.642857143,4.642857143,0.571428571,0.142857143
20001924,0,0,541,0,6,0,0,0,0,0,0,15,0,0.733333333,36.06666667,0,0,0,0
20001926,83,45,435,0,69,77,84,35,0,7,6,15,5.533333333,13.13333333,29,5.133333333,5.6,2.333333333,0
20001963,1,0,4,0,1,4,4,3,0,5,2,6,0.166666667,0.333333333,0.666666667,0.666666667,0.666666667,0.5,0
20001965,8,12,23,0,0,11,0,6,6,58,1,4,2,3,5.75,2.75,0,1.5,1.5
20001972,6,6,130,0,3,8,54,30,18,9,1,14,0.428571429,3.214285714,9.285714286,0.571428571,3.857142857,2.142857143,1.285714286
20001979,2,0,318,0,0,1,0,0,0,0,0,15,0.133333333,0.266666667,21.2,0.066666667,0,0,0
20001982,106,63,374,0,2,2,0,0,0,0,0,5,21.2,7.2,74.8,0.4,0,0,0
20001984,4,5,0,0,0,0,0,0,0,0,0,2,2,2.5,0,0,0,0,0
20001992,12,16,346,0,0,1,184,40,3,29,9,13,0.923076923,2.923076923,26.61538462,0.076923077,14.15384615,3.076923077,0.230769231
20001998,16,6,160,1,3,9,36,68,22,28,5,14,1.142857143,6.285714286,11.42857143,0.642857143,2.571428571,4.857142857,1.571428571
20002025,1,0,28,0,0,3,0,1,0,0,0,1,1,1,28,3,0,1,0
20002032,0,0,279,0,1,0,0,0,0,0,0,15,0,2.8,18.6,0,0,0,0
20002035,1,2,66,0,0,7,4,9,0,1,1,5,0.2,4.6,13.2,1.4,0.8,1.8,0
20002049,37,15,363,0,7,18,40,64,9,23,12,15,2.466666667,5.6,24.2,1.2,2.666666667,4.266666667,0.6
20002069,0,0,16,0,0,0,0,0,0,0,0,3,0,0.666666667,5.333333333,0,0,0,0
20002104,5,2,12,0,4,0,0,9,4,0,0,6,0.833333333,0.166666667,2,0,0,1.5,0.666666667
20002114,1,2,111,0,0,15,2,5,0,5,1,13,0.076923077,0.230769231,8.538461538,1.153846154,0.153846154,0.384615385,0
20002119,1,1,26,0,2,3,8,8,0,41,1,4,0.25,0.25,6.5,0.75,2,2,0
20002122,109,206,596,0,19,88,52,113,6,40,8,15,7.266666667,10.2,39.73333333,5.866666667,3.466666667,7.533333333,0.4
20002130,4,6,14,0,0,0,5,0,2,0,0,6,0.666666667,0.166666667,2.333333333,0,0.833333333,0,0.333333333
20002132,59,36,450,0,0,67,68,128,8,0,0,14,4.214285714,6.571428571,32.14285714,4.785714286,4.857142857,9.142857143,0.571428571
20002139,45,33,420,0,2,6,629,59,19,61,59,15,3,4.533333333,28,0.4,41.93333333,3.933333333,1.266666667
20002149,18,21,486,0,3,51,81,68,92,98,9,15,1.2,3.266666667,32.4,3.4,5.4,4.533333333,6.133333333
20002155,13,6,331,0,0,16,44,58,26,0,0,14,0.928571429,3.857142857,23.64285714,1.142857143,3.142857143,4.142857143,1.857142857
20002172,0,3,2,0,1,0,0,3,4,0,0,3,0,0.333333333,0.666666667,0,0,1,1.333333333
20002194,14,18,121,0,7,8,15,26,3,15,2,11,1.272727273,11.63636364,11,0.727272727,1.363636364,2.363636364,0.272727273
20002210,6,11,522,1,21,25,6,72,2,20,1,13,0.461538462,9.230769231,40.15384615,1.923076923,0.461538462,5.538461538,0.153846154
20002220,2,10,27,0,0,0,0,4,1,0,0,7,0.285714286,1.714285714,3.857142857,0,0,0.571428571,0.142857143
20002221,90,0,450,0,0,0,0,0,0,0,0,15,6,0.533333333,30,0,0,0,0
20002226,7,3,233,0,3,1,30,31,13,22,1,9,0.777777778,1.888888889,25.88888889,0.111111111,3.333333333,3.444444444,1.444444444
20002255,0,7,86,0,0,0,0,0,0,0,0,3,0,2.666666667,28.66666667,0,0,0,0
20002282,0,0,27,0,0,3,1,8,0,0,0,3,0,0.666666667,9,1,0.333333333,2.666666667,0
20002328,40,18,17,0,1,0,0,13,9,7,3,5,8,0,3.4,0,0,2.6,1.8
20002330,53,132,571,0,0,44,1,1,0,0,0,13,4.076923077,5.923076923,43.92307692,3.384615385,0.076923077,0.076923077,0
20002386,4,5,120,0,1,1,18,6,2,3,1,9,0.444444444,2.444444444,13.33333333,0.111111111,2,0.666666667,0.222222222
20002402,11,19,63,0,0,0,0,0,0,0,0,3,3.666666667,3.666666667,21,0,0,0,0
20002428,14,13,401,0,0,19,0,123,10,10,6,13,1.076923077,2.692307692,30.84615385,1.461538462,0,9.461538462,0.769230769
20002440,3,2,63,0,0,16,21,11,4,20,2,8,0.375,1.875,7.875,2,2.625,1.375,0.5
20002503,8,6,162,0,1,24,51,46,31,100,4,13,0.615384615,4.153846154,12.46153846,1.846153846,3.923076923,3.538461538,2.384615385
20002504,0,0,40,0,0,0,0,9,0,0,0,8,0,0.5,5,0,0,1.125,0
20002508,1,1,525,0,0,1,0,0,0,0,0,3,0.333333333,19.33333333,175,0.333333333,0,0,0
20002517,14,19,285,0,2,6,40,53,9,30,2,11,1.272727273,6.818181818,25.90909091,0.545454545,3.636363636,4.818181818,0.818181818
20002531,53,27,406,0,10,24,16,63,17,90,25,12,4.416666667,6.416666667,33.83333333,2,1.333333333,5.25,1.416666667
20002541,2,3,11,0,0,6,2,10,1,0,0,5,0.4,3.2,2.2,1.2,0.4,2,0.2
20002559,154,872,470,0,0,0,0,35,0,5,4,9,17.11111111,5.444444444,52.22222222,0,0,3.888888889,0
20002563,30,5,47,0,0,0,0,0,0,0,0,3,10,3.333333333,15.66666667,0,0,0,0
20002588,19,1,100,0,12,5,4,26,0,50,2,14,1.357142857,0.642857143,7.142857143,0.357142857,0.285714286,1.857142857,0
20002591,8,2,62,0,0,4,20,32,1,6,3,13,0.615384615,0.538461538,4.769230769,0.307692308,1.538461538,2.461538462,0.076923077
20002592,11,13,491,0,7,16,36,81,0,9,8,14,0.785714286,5.857142857,35.07142857,1.142857143,2.571428571,5.785714286,0
20002604,2,0,130,0,0,0,17,19,1,10,1,11,0.181818182,0.363636364,11.81818182,0,1.545454545,1.727272727,0.090909091
20002648,13,10,168,0,3,1,10,38,0,11,2,12,1.083333333,1.416666667,14,0.083333333,0.833333333,3.166666667,0
20002651,162,78,295,0,1,32,167,49,2,12,8,15,10.8,10,19.66666667,2.133333333,11.13333333,3.266666667,0.133333333
20002660,0,1,3,0,1,0,2,6,0,2,1,10,0,0.8,0.3,0,0.2,0.6,0
20002669,18,2,536,0,4,6,34,47,1,27,2,15,1.2,3.133333333,35.73333333,0.4,2.266666667,3.133333333,0.066666667
20002673,5,22,168,0,3,3,30,17,0,0,0,7,0.714285714,7.714285714,24,0.428571429,4.285714286,2.428571429,0
20002698,4,7,256,0,3,22,33,45,2,9,6,14,0.285714286,1.357142857,18.28571429,1.571428571,2.357142857,3.214285714,0.142857143
20002706,0,0,78,0,0,18,0,19,0,0,0,12,0,0.916666667,6.5,1.5,0,1.583333333,0
20002708,1,3,125,0,0,0,33,10,0,20,4,7,0.142857143,1.714285714,17.85714286,0,4.714285714,1.428571429,0
20002723,3,12,91,0,0,13,19,12,2,0,0,14,0.214285714,14.14285714,6.5,0.928571429,1.357142857,0.857142857,0.142857143
20002749,162,168,522,0,0,0,0,0,0,0,0,12,13.5,6.5,43.5,0,0,0,0
20002761,11,4,1059,0,4,6,144,65,1,28,19,15,0.733333333,9.6,70.6,0.4,9.6,4.333333333,0.066666667
20002774,2,0,0,0,0,4,0,0,0,0,0,15,0.133333333,2.266666667,0,0.266666667,0,0,0
20002784,2,0,276,0,0,2,2,43,4,9,5,15,0.133333333,1.8,18.4,0.133333333,0.133333333,2.866666667,0.266666667
20002787,1,1,261,0,84,108,11,25,2,0,0,11,0.090909091,2.818181818,23.72727273,9.818181818,1,2.272727273,0.181818182
20002804,1,0,464,0,0,0,0,0,0,0,0,15,0.066666667,0.266666667,30.93333333,0,0,0,0
20002808,1,2,172,0,1,21,12,31,7,26,7,11,0.090909091,1.818181818,15.63636364,1.909090909,1.090909091,2.818181818,0.636363636
20002812,1,0,154,0,2,9,0,0,0,0,0,13,0.076923077,8,11.84615385,0.692307692,0,0,0
20002822,99,88,298,0,16,1,0,0,0,0,0,15,6.6,22.4,19.86666667,0.066666667,0,0,0
20002824,384,293,1140,0,8,3,0,0,0,0,0,13,29.53846154,6,87.69230769,0.230769231,0,0,0
20002825,27,64,711,0,15,29,153,105,70,23,10,15,1.8,6.133333333,47.4,1.933333333,10.2,7,4.666666667
20002829,4,0,8,0,1,10,3,0,0,1,1,8,0.5,0.625,1,1.25,0.375,0,0
20002832,46,174,322,0,7,67,38,62,7,16,2,15,3.066666667,4.133333333,21.46666667,4.466666667,2.533333333,4.133333333,0.466666667
20002852,5,0,275,0,0,0,0,0,0,0,0,15,0.333333333,1.666666667,18.33333333,0,0,0,0
20002856,0,0,0,0,0,1,0,1,0,0,0,5,0,0.8,0,0.2,0,0.2,0
20002871,5,3,356,0,32,7,94,40,0,16,9,15,0.333333333,2.333333333,23.73333333,0.466666667,6.266666667,2.666666667,0
20002876,0,0,333,0,0,1,0,0,0,0,0,15,0,1.6,22.2,0.066666667,0,0,0
20002903,1,0,67,0,5,6,7,11,0,18,1,7,0.142857143,4.857142857,9.571428571,0.857142857,1,1.571428571,0
20002907,29,39,301,0,19,47,40,108,8,82,3,15,1.933333333,4.6,20.06666667,3.133333333,2.666666667,7.2,0.533333333
20002928,17,3,178,0,0,3,0,0,0,0,0,15,1.133333333,0.533333333,11.86666667,0.2,0,0,0
20002931,9,6,187,0,0,64,47,41,16,34,6,12,0.75,4.083333333,15.58333333,5.333333333,3.916666667,3.416666667,1.333333333
20002938,3,3,0,0,0,21,0,4,0,0,0,2,1.5,0,0,10.5,0,2,0
20002948,67,26,58,0,0,1,0,0,0,0,0,4,16.75,2.5,14.5,0.25,0,0,0
20002957,0,0,184,0,0,0,0,0,0,0,0,15,0,3.866666667,12.26666667,0,0,0,0
20002978,0,0,8,0,0,0,0,2,0,16,1,1,0,6,8,0,0,2,0
20002986,2,2,398,0,1,1,1,35,0,0,0,15,0.133333333,1.866666667,26.53333333,0.066666667,0.066666667,2.333333333,0
20002993,4,2,649,0,0,5,17,63,9,57,12,10,0.4,6.4,64.9,0.5,1.7,6.3,0.9
20002994,2,0,4,0,3,6,8,8,0,16,2,7,0.285714286,0,0.571428571,0.857142857,1.142857143,1.142857143,0
20002999,2,6,15,0,0,0,9,5,0,0,0,3,0.666666667,8.333333333,5,0,3,1.666666667,0
20003015,0,0,134,0,0,0,0,0,0,0,0,7,0,2.714285714,19.14285714,0,0,0,0
20003029,24,54,396,0,98,154,73,68,5,26,7,15,1.6,2.666666667,26.4,10.26666667,4.866666667,4.533333333,0.333333333
20003049,479,1486,29,0,118,152,1,2,0,1,2,15,31.93333333,0.933333333,1.933333333,10.13333333,0.066666667,0.133333333,0
20003058,0,0,192,0,4,6,0,0,0,0,0,15,0,0.266666667,12.8,0.4,0,0,0
