login_count,play_time,max_level,playtime_per_day,abyss,sit_count,exp_get_amout,money_get_count,teleport_count,killed_by_pc,killed_by_npc,reborn_count,login_total_day,sit_count_perday,login_total_day,item_get_count_perday,money_get_count_perday,use_portal_count_perday,teleport_count_perday,total_party_time,sit_count/play_time,killed_by_pc/play_time,killed_by_npc/play_time,total-party_time/play_time,teleport_count/play_time,play_time/login_count,exp_get_amount/play_time,playtime_per_day/login_total_day,max_level/login_count,reborn_count/login_count,sit_count/max_level,play_time/question_count,actor_account,class
48,382517,47,25501.13333,0,181,576450536,2652,642,77,81,130,15,12.06666667,15,1009.266667,176.8,0.6,42.8,12831,0.000473182,0.000201298,0.000211755,0.033543607,0.001678357,7969.104167,1506.993247,1700.075555,0.979166667,2.708333333,3.85106383,1346.890845,20000063,0
9,14596,0,2919.2,0,14,18351775,190,16,0,2,2,5,2.8,5,44.6,38,0,3.2,0,0.000959167,0,0.000137024,0,0.001096191,1621.777778,1257.31536,583.84,0,0.222222222,0,3649,20000064,0
50,218017,31,16770.53846,0,249,36652226,1092,178,4,40,38,13,19.15384615,13,2080.769231,84,0,13.69230769,12992,0.001142113,1.83E-05,0.000183472,0.059591683,0.00081645,4360.34,168.1163671,1290.04142,0.62,0.76,8.032258065,520.326969,20000071,0
35,287488,36,28748.8,0,679,47896082,600,554,187,64,201,10,67.9,10,7275.9,60,1.7,55.4,86460,0.002361838,0.000650462,0.000222618,0.300742988,0.001927037,8213.942857,166.6020216,2874.88,1.028571429,5.742857143,18.86111111,4956.689655,20000072,1
2,12862,15,12862,0,1,784468,141,7,0,0,0,1,1,1,213,141,0,7,0,7.77E-05,0,0,0,0.000544239,6431,60.99113668,12862,7.5,0,0.066666667,756.5882353,20000079,0
13,187187,28,31197.83333,0,101,24319101,1293,181,27,31,48,6,16.83333333,6,11504.66667,215.5,0,30.16666667,14878,0.000539567,0.000144241,0.00016561,0.079482015,0.000966947,14399,129.9187497,5199.638888,2.153846154,3.692307692,3.607142857,908.6747573,20000085,0
3,11149,7,3716.333333,0,0,37782,26,4,0,2,4,3,0,3,14.66666667,8.666666667,0,1.333333333,756,0,0,0.000179388,0.067808772,0.000358777,3716.333333,3.38882411,1238.777778,2.333333333,1.333333333,0,2787.25,20000087,0
115,630830,37,42055.33333,0,602,263808810,3447,696,252,140,268,15,40.13333333,15,2220.266667,229.8,0.266666667,46.4,11698,0.000954298,0.000399474,0.00022193,0.018543823,0.001103308,5485.478261,418.1931899,2803.688889,0.32173913,2.330434783,16.27027027,1714.211957,20000088,0
82,84170,23,9352.222222,0,316,8637271,879,26,0,3,4,9,35.11111111,9,551.6666667,97.66666667,0,2.888888889,0,0.003754307,0,3.56E-05,0,0.000308899,1026.463415,102.6169775,1039.135802,0.280487805,0.048780488,13.73913043,14028.33333,20000090,0
17,608387,0,67598.55556,0,8,651124546,30,21,0,9,8,9,0.888888889,9,3499.555556,3.333333333,0,2.333333333,0,1.31E-05,0,1.48E-05,0,3.45E-05,35787.47059,1070.247303,7510.950618,0,0.470588235,0,633.0770031,20000092,0
1,12094,8,12094,0,0,83766,63,7,0,1,1,1,0,1,377,63,0,7,0,0,0,8.27E-05,0,0.000578799,12094,6.926244419,12094,8,1,0,1007.833333,20000105,0
25,96641,48,12080.125,0,26,71238803,682,130,15,8,21,8,3.25,8,243.25,85.25,0,16.25,20575,0.000269037,0.000155214,8.28E-05,0.212901357,0.001345185,3865.64,737.1488602,1510.015625,1.92,0.84,0.541666667,8053.416667,20000107,0
19,20567,0,1869.727273,0,0,0,22,3,0,0,0,11,0,11,0,2,0,0.272727273,0,0,0,0,0,0.000145865,1082.473684,0,169.9752066,0,0,0,0,20000108,0
59,195585,29,13970.35714,0,149,24258735,1145,155,6,31,31,14,10.64285714,14,381.3571429,81.78571429,0,11.07142857,15892,0.000761817,3.07E-05,0.000158499,0.081253675,0.000792494,3315,124.0316742,997.8826529,0.491525424,0.525423729,5.137931034,1130.549133,20000111,0
42,145355,0,11181.15385,0,190,102719271,947,257,157,24,110,13,14.61538462,13,1836.538462,72.84615385,0.384615385,19.76923077,14177,0.001307145,0.001080114,0.000165113,0.097533625,0.001768085,3460.833333,706.6786213,860.0887577,0,2.619047619,0,3633.875,20000112,0
5,15095,19,3773.75,0,13,1795417,251,20,0,0,0,4,3.25,4,28.5,62.75,0,5,0,0.000861212,0,0,0,0.001324942,3019,118.9411726,943.4375,3.8,0,0.684210526,5031.666667,20000113,0
36,1148470,0,76564.66667,0,499,760109571,13561,356,62,470,388,15,33.26666667,15,86,904.0666667,0,23.73333333,17138,0.000434491,5.40E-05,0.00040924,0.014922462,0.000309978,31901.94444,661.8453865,5104.311111,0,10.77777778,0,0,20000117,0
176,512291,48,34152.73333,0,432,609662121,6775,622,40,138,131,15,28.8,15,5103.933333,451.6666667,0.133333333,41.46666667,76945,0.000843271,7.81E-05,0.000269378,0.150197837,0.001214154,2910.744318,1190.069943,2276.848889,0.272727273,0.744318182,9,623.9841657,20000124,0
198,403411,41,28815.07143,0,139,397881860,4466,465,53,40,64,14,9.928571429,14,2182.214286,319,0.357142857,33.21428571,20577,0.000344562,0.00013138,9.92E-05,0.051007533,0.001152671,2037.429293,986.2940277,2058.219388,0.207070707,0.323232323,3.390243902,955.950237,20000130,0
171,541396,41,36093.06667,0,103,315596665,2735,337,97,66,108,15,6.866666667,15,9054.666667,182.3333333,0.066666667,22.46666667,38246,0.000190249,0.000179166,0.000121907,0.0706433,0.000622465,3166.05848,582.9312832,2406.204445,0.239766082,0.631578947,2.512195122,877.465154,20000131,0
15,1096369,50,73091.26667,0,3998,1080547267,51,47,5,7,11,15,266.5333333,15,4960.466667,3.4,0,3.133333333,0,0.003646582,4.56E-06,6.38E-06,0,4.29E-05,73091.26667,985.5689708,4872.751111,3.333333333,0.733333333,79.96,1812.180165,20000135,0
28,128679,39,16084.875,0,62,41390924,269,101,4,29,28,8,7.75,8,5856.125,33.625,0,12.625,18980,0.000481819,3.11E-05,0.000225367,0.147498815,0.000784899,4595.678571,321.6602864,2010.609375,1.392857143,1,1.58974359,489.2737643,20000154,0
66,1134932,0,75662.13333,0,1301,23969413,297,1051,580,28,578,15,86.73333333,15,14835.8,19.8,0,70.06666667,499976,0.001146324,0.000511044,2.47E-05,0.440533882,0.000926047,17195.93939,21.11969087,5044.142222,0,8.757575758,0,226986.4,20000157,0
17,84271,28,7022.583333,0,102,14966076,272,47,10,9,17,12,8.5,12,188.8333333,22.66666667,0.083333333,3.916666667,796,0.001210381,0.000118665,0.000106798,0.009445717,0.000557724,4957.117647,177.5946174,585.2152777,1.647058824,1,3.642857143,1257.776119,20000177,0
22,1160285,0,77352.33333,0,6972,1298657235,48,79,0,4,4,15,464.8,15,4181.733333,3.2,0,5.266666667,0,0.006008869,0,3.45E-06,0,6.81E-05,52740.22727,1119.257109,5156.822222,0,0.181818182,0,0,20000184,0
42,946368,0,78864,0,9,11137705,70888,249,0,54,54,12,0.75,12,6915.083333,5907.333333,0,20.75,0,9.51E-06,0,5.71E-05,0,0.000263111,22532.57143,11.76889434,6572,0,1.285714286,0,0,20000196,1
13,58898,18,14724.5,0,41,30294911,255,60,5,5,5,4,10.25,4,1245.75,63.75,0,15,0,0.000696119,8.49E-05,8.49E-05,0,0.00101871,4530.615385,514.3623043,3681.125,1.384615385,0.384615385,2.277777778,1015.482759,20000203,0
251,330904,40,23636,0,241,306293745,2792,404,95,59,101,14,17.21428571,14,6763.142857,199.4285714,0.142857143,28.85714286,16885,0.000728308,0.000287092,0.000178299,0.051026884,0.001220898,1318.342629,925.6272061,1688.285714,0.15936255,0.402390438,6.025,7695.44186,20000206,0
25,221538,28,20139.81818,0,149,22249252,1395,240,9,20,24,11,13.54545455,11,8286.454545,126.8181818,0,21.81818182,64243,0.000672571,4.06E-05,9.03E-05,0.289986368,0.001083336,8861.52,100.4308606,1830.892562,1.12,0.96,5.321428571,919.2448133,20000207,0
5,16571,12,5523.666667,0,41,563795,166,15,0,3,3,3,13.66666667,3,507.6666667,55.33333333,0,5,0,0.002474202,0,0.000181039,0,0.000905196,3314.2,34.02299197,1841.222222,2.4,0.6,3.416666667,236.7285714,20000208,0
115,105727,0,8810.583333,0,96,106513625,1334,180,73,7,58,12,8,12,4964.666667,111.1666667,0,15,6988,0.000907999,0.000690457,6.62E-05,0.066094753,0.001702498,919.3652174,1007.440152,734.2152778,0,0.504347826,0,536.6852792,20000209,0
32,143304,0,13027.63636,0,0,164703,127,65,4,0,29,11,0,11,3.454545455,11.54545455,0,5.909090909,0,0,2.79E-05,0,0,0.000453581,4478.25,1.149325909,1184.330578,0,0.90625,0,0,20000215,0
80,273560,43,39080,0,236,228939694,1874,275,33,29,48,7,33.71428571,7,10438.42857,267.7142857,1,39.28571429,13134,0.000862699,0.000120632,0.00010601,0.048011405,0.001005264,3419.5,836.8902398,5582.857143,0.5375,0.6,5.488372093,7014.358974,20000217,0
45,97283,39,8843.909091,0,95,69811716,721,116,7,37,27,11,8.636363636,11,225.7272727,65.54545455,0,10.54545455,12663,0.000976532,7.20E-05,0.000380334,0.130166627,0.001192397,2161.844444,717.6147528,803.9917355,0.866666667,0.6,2.435897436,1737.196429,20000222,1
43,194120,0,17647.27273,0,91,213539416,2529,315,165,55,117,11,8.272727273,11,982.4545455,229.9090909,0,28.63636364,29877,0.000468782,0.00084999,0.00028333,0.153909953,0.001622708,4514.418605,1100.038203,1604.297521,0,2.720930233,0,743.7547893,20000239,0
14,13706,5,1522.888889,0,93,16392938,83,47,2,52,23,9,10.33333333,9,77.88888889,9.222222222,0,5.222222222,698,0.006785349,0.000145921,0.003793959,0.050926601,0.003429155,979,1196.041004,169.2098766,0.357142857,1.642857143,18.6,6853,20000249,0
121,242827,0,17344.78571,0,378,392283858,3526,332,90,35,70,14,27,14,1551.285714,251.8571429,0,23.71428571,0,0.001556664,0.000370634,0.000144136,0,0.001367229,2006.834711,1615.486985,1238.913265,0,0.578512397,0,5058.895833,20000252,0
6,22945,0,5736.25,0,92,8213979,94,18,2,7,8,4,23,4,45.25,23.5,0,4.5,2049,0.004009588,8.72E-05,0.000305077,0.089300501,0.000784485,3824.166667,357.9855742,1434.0625,0,1.333333333,0,2085.909091,20000257,0
5,20775,28,5193.75,0,34,6463388,158,17,0,1,1,4,8.5,4,81.5,39.5,0,4.25,247,0.001636582,0,4.81E-05,0.01188929,0.000818291,4155,311.1137425,1298.4375,5.6,0.2,1.214285714,1093.421053,20000270,0
61,137298,39,17162.25,0,224,55254629,1421,176,1,35,31,8,28,8,1997,177.625,0,22,34995,0.001631488,7.28E-06,0.00025492,0.254883538,0.001281883,2250.786885,402.4430727,2145.28125,0.639344262,0.508196721,5.743589744,4038.176471,20000278,0
56,29606,0,1973.733333,0,0,0,51,8,0,0,0,15,0,15,5653.333333,3.4,0,0.533333333,84,0,0,0,0.002837263,0.000270215,528.6785714,0,131.5822222,0,0,0,0,20000279,0
5,30499,16,7624.75,0,5,1688862,412,30,0,6,6,4,1.25,4,2815.5,103,0,7.5,1400,0.00016394,0,0.000196728,0.045903144,0.000983639,6099.8,55.37434014,1906.1875,3.2,1.2,0.3125,448.5147059,20000290,0
19,136657,47,12423.36364,0,48,147818557,1276,138,10,25,22,11,4.363636364,11,3716.363636,116,0,12.54545455,1650,0.000351244,7.32E-05,0.00018294,0.012074025,0.001009828,7192.473684,1081.675706,1129.396695,2.473684211,1.157894737,1.021276596,2679.54902,20000297,0
107,245922,41,17565.85714,0,74,141176135,2010,162,6,14,20,14,5.285714286,14,5450.071429,143.5714286,0,11.57142857,46495,0.000300908,2.44E-05,5.69E-05,0.189064012,0.000658745,2298.336449,574.0687494,1254.704081,0.38317757,0.186915888,1.804878049,1661.635135,20000308,0
20,1054317,47,81101.30769,0,4074,585307029,72,93,43,4,43,13,313.3846154,13,3035,5.538461538,0,7.153846154,0,0.003864113,4.08E-05,3.79E-06,0,8.82E-05,52715.85,555.1527947,6238.56213,2.35,2.15,86.68085106,39048.77778,20000311,0
191,349486,31,23299.06667,0,595,358808938,3979,493,163,43,153,15,39.66666667,15,11228.73333,265.2666667,0,32.86666667,72049,0.0017025,0.000466399,0.000123038,0.206157042,0.001410643,1829.769634,1026.676142,1553.271111,0.162303665,0.80104712,19.19354839,619.6560284,20000316,0
6,11707,11,5853.5,0,2,320509,99,9,0,1,1,2,1,2,2657.5,49.5,0,4.5,0,0.000170838,0,8.54E-05,0,0.000768771,1951.166667,27.37755189,2926.75,1.833333333,0.166666667,0.181818182,260.1555556,20000328,0
53,444172,0,29611.46667,0,295,379809859,3410,379,17,122,104,15,19.66666667,15,198.2,227.3333333,0,25.26666667,86211,0.000664157,3.83E-05,0.000274668,0.194093729,0.000853273,8380.603774,855.0963568,1974.097778,0,1.962264151,0,7050.349206,20000343,0
18,1110169,47,79297.78571,0,1129,479411310,19272,230,193,30,167,14,80.64285714,14,3337.142857,1376.571429,0,16.42857143,0,0.001016962,0.000173847,2.70E-05,0,0.000207176,61676.05556,431.836333,5664.127551,2.611111111,9.277777778,24.0212766,370.0563333,20000350,0
30,64201,15,10700.16667,0,17,1551915,886,38,0,5,5,6,2.833333333,6,5160.166667,147.6666667,0,6.333333333,8287,0.000264793,0,7.79E-05,0.129078986,0.000591891,2140.033333,24.17275432,1783.361112,0.5,0.166666667,1.133333333,2006.28125,20000361,0
42,190818,50,12721.2,0,356,272913873,2353,189,10,33,21,15,23.73333333,15,192.4,156.8666667,0,12.6,0,0.001865652,5.24E-05,0.00017294,0,0.000990473,4543.285714,1430.231283,848.08,1.19047619,0.5,7.12,2327.04878,20000366,0
64,419580,0,32275.38462,0,1150,171714701,2187,1183,741,174,673,13,88.46153846,13,9476.461538,168.2307692,0.615384615,91,20109,0.002740836,0.001766052,0.0004147,0.047926498,0.002819486,6555.9375,409.25378,2482.721894,0,10.515625,0,3439.180328,20000367,0
134,371994,40,26571,0,398,314653638,2581,414,30,60,49,14,28.42857143,14,1221.571429,184.3571429,0,29.57142857,31232,0.00106991,8.06E-05,0.000161293,0.083958343,0.001112921,2776.074627,845.8567558,1897.928571,0.298507463,0.365671642,9.95,8266.533333,20000387,0
24,56151,19,6239,0,153,3434276,497,53,0,10,10,9,17,9,1275.222222,55.22222222,0,5.888888889,234,0.002724796,0,0.000178091,0.004167335,0.000943883,2339.625,61.16143969,693.2222222,0.791666667,0.416666667,8.052631579,412.875,20000393,0
3,12327,10,4109,0,123,222325,242,5,0,2,2,3,41,3,90.66666667,80.66666667,0,1.666666667,0,0.009978097,0,0.000162245,0,0.000405614,4109,18.03561288,1369.666667,3.333333333,0.666666667,12.3,3081.75,20000404,1
17,1084347,46,72289.8,0,11137,616150845,6938,343,87,263,304,15,742.4666667,15,2769.866667,462.5333333,0,22.86666667,0,0.010270697,8.02E-05,0.000242542,0,0.000316319,63785.11765,568.2229443,4819.32,2.705882353,17.88235294,242.1086957,1084347,20000405,0
4,20204,0,10102,0,58,6267851,8,12,0,2,1,2,29,2,37,4,0,6,1992,0.002870719,0,9.90E-05,0.098594338,0.000593942,5051,310.2282221,5051,0,0.25,0,0,20000412,0
35,268967,0,22413.91667,0,99,158958358,1271,170,45,34,51,12,8.25,12,2027.166667,105.9166667,0,14.16666667,18125,0.000368075,0.000167307,0.00012641,0.067387449,0.000632048,7684.771429,590.9957653,1867.826389,0,1.457142857,0,1054.772549,20000415,0
94,429329,23,30666.35714,0,255,382118708,4453,553,68,88,115,14,18.21428571,14,16584.71429,318.0714286,0,39.5,44811,0.00059395,0.000158387,0.000204971,0.104374501,0.001288056,4567.329787,890.0370299,2190.454081,0.244680851,1.223404255,11.08695652,1632.429658,20000422,0
32,947297,31,72869,0,3808,38352741,129,143,33,26,63,13,292.9230769,13,5472.769231,9.923076923,0,11,8,0.004019859,3.48E-05,2.74E-05,8.45E-06,0.000150956,29603.03125,40.48650107,5605.307692,0.96875,1.96875,122.8387097,189459.4,20000427,1
30,151628,49,13784.36364,0,133,196572118,1163,119,17,52,41,11,12.09090909,11,144.8181818,105.7272727,0.090909091,10.81818182,283,0.000877147,0.000112116,0.000342945,0.00186641,0.000784815,5054.266667,1296.410412,1253.123967,1.633333333,1.366666667,2.714285714,21661.14286,20000435,0
18,432797,30,61828.14286,0,3008,63806265,719,369,132,233,315,7,429.7142857,7,4577.285714,102.7142857,0,52.71428571,0,0.006950141,0.000304993,0.000538359,0,0.000852594,24044.27778,147.427697,8832.591837,1.666666667,17.5,100.2666667,86559.4,20000436,1
20,154836,24,15483.6,0,6,10389198,751,134,0,25,24,10,0.6,10,385.8,75.1,0,13.4,29222,3.88E-05,0,0.000161461,0.188728719,0.000865432,7741.8,67.09807797,1548.36,1.2,1.2,0.25,889.862069,20000439,0
50,76262,23,8473.555556,0,43,12973754,268,35,1,10,8,9,4.777777778,9,58.77777778,29.77777778,0,3.888888889,0,0.000563846,1.31E-05,0.000131127,0,0.000458944,1525.24,170.1208203,941.5061729,0.46,0.16,1.869565217,5866.307692,20000454,0
18,164903,0,14991.18182,0,318,98185519,2621,424,14,35,116,11,28.90909091,11,2885,238.2727273,0,38.54545455,6122,0.001928406,8.49E-05,0.000212246,0.037124855,0.002571209,9161.277778,595.4137826,1362.834711,0,6.444444444,0,4122.575,20000456,0
178,689146,0,49224.71429,0,428,769943967,5064,624,25,55,46,14,30.57142857,14,4699.285714,361.7142857,0.071428571,44.57142857,36384,0.000621059,3.63E-05,7.98E-05,0.052795779,0.000905469,3871.606742,1117.243613,3516.051021,0,0.258426966,0,1580.610092,20000457,0
35,977997,40,75230.53846,0,2658,295972122,125,355,171,141,265,13,204.4615385,13,10127,9.615384615,0,27.30769231,995,0.0027178,0.000174847,0.000144172,0.001017386,0.000362987,27942.77143,302.6309099,5786.964497,1.142857143,7.571428571,66.45,341.4793994,20000466,1
12,68074,35,17018.5,0,31,35133636,59,96,3,21,21,4,7.75,4,196.5,14.75,0,24,2159,0.000455387,4.41E-05,0.000308488,0.031715486,0.00141023,5672.833333,516.1094691,4254.625,2.916666667,1.75,0.885714286,3582.842105,20000470,0
18,1166364,0,77757.6,0,2000,864254386,2347,128,0,98,91,15,133.3333333,15,4022.6,156.4666667,0,8.533333333,0,0.001714731,0,8.40E-05,0,0.000109743,64798,740.9817055,5183.84,0,5.055555556,0,849.5003642,20000478,0
34,420401,0,28026.73333,0,0,8,55,60,0,0,0,15,0,15,22422.2,3.666666667,0,4,0,0,0,0,0,0.000142721,12364.73529,1.90E-05,1868.448889,0,0,0,0,20000479,1
45,376299,0,26878.5,101,1067,500725994,4132,601,257,139,245,14,76.21428571,14,3303.857143,295.1428571,0.071428571,42.92857143,108659,0.002835511,0.000682968,0.000369387,0.288757079,0.001597134,8362.2,1330.659911,1919.892857,0,5.444444444,0,723.6519231,20000482,0
8,78748,0,15749.6,0,32,129738309,754,82,4,13,11,5,6.4,5,1221.2,150.8,0,16.4,5533,0.00040636,5.08E-05,0.000165084,0.070262102,0.001041296,9843.5,1647.512432,3149.92,0,1.375,0,4632.235294,20000491,0
4,14586,0,3646.5,0,4,12192578,152,14,0,2,2,4,1,4,20.25,38,0,3.5,0,0.000274236,0,0.000137118,0,0.000959824,3646.5,835.9096394,911.625,0,0.5,0,7293,20000508,0
1,10665,0,10665,0,2,2097429,30,9,3,1,3,1,2,1,84,30,0,9,0,0.000187529,0.000281294,9.38E-05,0,0.000843882,10665,196.6646976,10665,0,3,0,3555,20000510,0
15,828781,35,69065.08333,0,547,92015865,68,159,84,37,104,12,45.58333333,12,4810.083333,5.666666667,0,13.25,659,0.000660005,0.000101354,4.46E-05,0.000795144,0.000191848,55252.06667,111.0255484,5755.423611,2.333333333,6.933333333,15.62857143,2098.179747,20000512,0
48,154184,33,11013.14286,0,59,26836586,238,208,8,18,23,14,4.214285714,14,761.5714286,17,0,14.85714286,0,0.00038266,5.19E-05,0.000116744,0,0.001349038,3212.166667,174.0555829,786.6530614,0.6875,0.479166667,1.787878788,658.9059829,20000513,0
85,221198,43,20108.90909,0,416,228964244,2268,386,127,55,121,11,37.81818182,11,10525.90909,206.1818182,0,35.09090909,13596,0.001880668,0.000574146,0.000248646,0.061465294,0.001745043,2602.329412,1035.10992,1828.082645,0.505882353,1.423529412,9.674418605,3949.964286,20000518,0
26,559373,34,50852.09091,0,1987,99131496,576,330,36,195,195,11,180.6363636,11,905.5454545,52.36363636,0,30,0,0.003552191,6.44E-05,0.000348605,0,0.000589946,21514.34615,177.2189505,4622.917355,1.307692308,7.5,58.44117647,11653.60417,20000529,1
13,37608,30,6268,0,36,6198560,95,38,3,4,9,6,6,6,1270.5,15.83333333,0,6.333333333,0,0.000957243,7.98E-05,0.00010636,0,0.001010423,2892.923077,164.820251,1044.666667,2.307692308,0.692307692,1.2,1790.857143,20000544,0
4,15222,16,5074,0,0,944466,230,15,0,1,1,3,0,3,105.3333333,76.66666667,0,5,0,0,0,6.57E-05,0,0.000985416,3805.5,62.04611746,1691.333333,4,0.25,0,634.25,20000550,0
103,493728,49,32915.2,0,293,548989167,4586,413,10,135,105,15,19.53333333,15,6190.266667,305.7333333,0,27.53333333,65712,0.000593444,2.03E-05,0.00027343,0.133093525,0.000836493,4793.475728,1111.926338,2194.346667,0.475728155,1.019417476,5.979591837,4448,20000552,0
290,522497,37,34833.13333,356,421,312090317,3012,578,163,104,165,15,28.06666667,15,9149.8,200.8,0.2,38.53333333,72890,0.000805746,0.000311964,0.000199044,0.139503193,0.001106226,1801.713793,597.3054716,2322.208889,0.127586207,0.568965517,11.37837838,7359.112676,20000558,0
7,25400,0,6350,0,71,9524543,51,52,16,15,23,4,17.75,4,137.5,12.75,0,13,991,0.002795276,0.000629921,0.000590551,0.039015748,0.002047244,3628.571429,374.9820079,1587.5,0,3.285714286,0,12700,20000559,0
75,139876,36,10759.69231,0,154,89247279,1472,272,38,42,53,13,11.84615385,13,3923.153846,113.2307692,0,20.92307692,8948,0.001100975,0.000271669,0.000300266,0.063970946,0.001944579,1865.013333,638.0456905,827.6686392,0.48,0.706666667,4.277777778,1726.864198,20000581,0
2,24075,14,12037.5,0,31,860846,240,19,0,0,0,2,15.5,2,626.5,120,0,9.5,0,0.001287643,0,0,0,0.0007892,12037.5,35.7568432,6018.75,7,0,2.214285714,408.0508475,20000584,0
69,161807,33,14709.72727,0,145,128489188,1043,159,9,37,37,11,13.18181818,11,4975.363636,94.81818182,0,14.45454545,21188,0.000896129,5.56E-05,0.000228667,0.130946127,0.000982652,2345.028986,794.0891803,1337.247934,0.47826087,0.536231884,4.393939394,1818.05618,20000585,0
36,242071,50,22006.45455,0,241,272978709,2174,314,36,35,49,11,21.90909091,11,2097.363636,197.6363636,0.090909091,28.54545455,46440,0.000995576,0.000148717,0.000144586,0.191844541,0.00129714,6724.194444,1127.680346,2000.586777,1.388888889,1.361111111,4.82,1571.88961,20000601,0
14,1055422,0,81186.30769,0,1333,989112822,6692,141,0,78,63,13,102.5384615,13,6487.923077,514.7692308,0,10.84615385,0,0.001263002,0,7.39E-05,0,0.000133596,75387.28571,937.1728294,6245.100592,0,4.5,0,1055422,20000641,0
47,63901,0,4564.357143,0,0,3000,90,46,0,0,0,14,0,14,7069.428571,6.428571429,0,3.285714286,0,0,0,0,0,0.000719864,1359.595745,0.046947622,326.0255102,0,0,0,31950.5,20000644,0
9,54623,16,6827.875,0,40,1264759,303,34,0,6,7,8,5,8,126.375,37.875,0,4.25,2009,0.000732292,0,0.000109844,0.036779379,0.000622448,6069.222222,23.15433059,853.484375,1.777777778,0.777777778,2.5,691.4303797,20000646,0
17,398888,0,66481.33333,0,103,449877087,8300,144,6,203,181,6,17.16666667,6,190.3333333,1383.333333,0,24,0,0.000258218,1.50E-05,0.000508915,0,0.000361004,23464,1127.82808,11080.22222,0,10.64705882,0,0,20000649,0
